class_label,count
amenity:mosque,136
amenity:school,100
amenity:restaurant,74
highway:bus_stop,70
amenity:cafe,60
leisure:park,58
tourism:hotel,57
natural:tree,54
amenity:bank,46
amenity:hospital,45
natural:water,44
shop:supermarket,42
shop:clothes,39
shop:bakery,36
amenity:marketplace,25
building:residential,24
historic:monument,10
place:locality,6
