column,null_rate
place,0.9935205183585313
historic,0.9892008639308856
leisure,0.937365010799136
tourism,0.9352051835853131
highway,0.9244060475161987
natural,0.8941684665226782
shop,0.8671706263498921
religion,0.8650107991360692
building,0.8639308855291576
addr_full,0.531317494600432
amenity,0.48596112311015116
name,0.2451403887688985
text,0.0
osm_id,0.0
osm_type,0.0
lon,0.0
lat,0.0
human_label,0.0
label_id,0.0
class_label,0.0
class_value,0.0
class_key,0.0
family,0.0
all_tags_json,0.0
