class_label,rank,feat_idx,weight,feature_name
natural:tree,3,38,-0.20753811299800873,PAT_38
natural:tree,4,93,-0.20753811299800873,PAT_93
natural:tree,5,242,0.145733043551445,PAT_242
natural:water,1,13,3.587343215942383,PAT_13
natural:water,2,243,-0.3028055727481842,PAT_243
natural:water,3,38,-0.20755283534526825,PAT_38
natural:water,4,93,-0.20755283534526825,PAT_93
natural:water,5,242,0.14503492414951324,PAT_242
place:locality,1,112,3.587193727493286,PAT_112
place:locality,2,243,-0.3028434216976166,PAT_243
place:locality,3,38,-0.20756122469902039,PAT_38
place:locality,4,93,-0.20756122469902039,PAT_93
place:locality,5,242,0.14508137106895447,PAT_242
shop:bakery,1,19,2.9218826293945312,PAT_19
shop:bakery,2,31,0.9443967342376709,PAT_31
shop:bakery,3,41,0.6207398176193237,PAT_41
shop:bakery,4,243,-0.3271097242832184,PAT_243
shop:bakery,5,59,0.289593368768692,PAT_59
shop:bakery,6,164,0.13047075271606445,PAT_164
shop:bakery,7,38,0.10305999964475632,PAT_38
shop:bakery,8,93,0.10305999964475632,PAT_93
shop:bakery,9,62,0.06900551170110703,PAT_62
shop:bakery,10,114,0.01220681145787239,PAT_114
shop:clothes,1,17,3.343860626220703,PAT_17
shop:clothes,2,34,0.8603353500366211,PAT_34
shop:clothes,3,243,-0.32471635937690735,PAT_243
shop:clothes,4,38,0.051770031452178955,PAT_38
shop:clothes,5,93,0.051770031452178955,PAT_93
shop:clothes,6,242,0.011882415972650051,PAT_242
shop:clothes,7,134,0.010009902529418468,PAT_134
shop:supermarket,1,14,3.524489641189575,PAT_14
shop:supermarket,2,70,0.46275511384010315,PAT_70
shop:supermarket,3,243,-0.3306002914905548,PAT_243
shop:supermarket,4,115,0.15181782841682434,PAT_115
shop:supermarket,5,242,0.07304274290800095,PAT_242
shop:supermarket,6,169,0.03788475692272186,PAT_169
tourism:hotel,1,7,2.7127392292022705,PAT_7
tourism:hotel,2,15,1.1266297101974487,PAT_15
tourism:hotel,3,32,0.6973095536231995,PAT_32
tourism:hotel,4,243,-0.34942030906677246,PAT_243
tourism:hotel,5,38,0.1856243908405304,PAT_38
tourism:hotel,6,93,0.1856243908405304,PAT_93
tourism:hotel,7,119,0.14159096777439117,PAT_119
tourism:hotel,8,51,0.1363462209701538,PAT_51
tourism:hotel,9,143,0.030193442478775978,PAT_143
tourism:hotel,10,79,0.025372164323925972,PAT_79
