support,itemsets,is_relevant
0.007418436381683776,"frozenset({'car_parts', 'TAG_KEY:shop'})",True
0.007418436381683776,frozenset({'car_parts'}),True
0.007418436381683776,frozenset({'parts_shop'}),True
0.007392315126818693,"frozenset({'parts_shop', 'car_parts'})",True
0.007392315126818693,"frozenset({'parts_shop', 'car_parts', 'TAG_KEY:shop'})",True
0.007183345087898023,frozenset({'tailor_shop'}),True
0.007183345087898023,"frozenset({'tailor_shop', 'TAG_KEY:shop'})",True
0.006843768774651935,frozenset({'construction_landuse'}),True
0.006843768774651935,"frozenset({'construction_landuse', 'TAG_KEY:landuse'})",True
0.006791526264921767,frozenset({'garden_leisure'}),True
0.006791526264921767,"frozenset({'garden_leisure', 'TAG_KEY:leisure'})",True
0.00653031371627093,"frozenset({'TAG_KEY:amenity', 'office_amenity'})",True
0.00653031371627093,frozenset({'office_amenity'}),True
0.006347464932215344,frozenset({'pharmacy_healthcare'}),True
0.006347464932215344,"frozenset({'pharmacy_healthcare', 'TAG_KEY:healthcare'})",True
0.006138494893294674,"frozenset({'hostel_tourism', 'TAG_KEY:tourism'})",True
0.006138494893294674,frozenset({'hostel_tourism'}),True
0.00611237363842959,frozenset({'autos_car'}),True
0.00611237363842959,"frozenset({'autos_car', 'TAG_KEY:shop'})",True
0.0060078886189692555,frozenset({'general_store'}),True
0.005929524854374004,"frozenset({'fitness_centre', 'TAG_KEY:leisure'})",True
0.005929524854374004,"frozenset({'fitness_centre', 'centre_leisure', 'TAG_KEY:leisure'})",True
0.005929524854374004,"frozenset({'fitness_centre', 'centre_leisure'})",True
0.005929524854374004,frozenset({'fitness_centre'}),True
0.005903403599508921,"frozenset({'store_supermarket', 'supermarket_shop'})",True
0.005903403599508921,"frozenset({'TAG_KEY:shop', 'store_supermarket', 'supermarket_shop'})",True
0.005903403599508921,frozenset({'store_supermarket'}),True
0.005903403599508921,"frozenset({'store_supermarket', 'TAG_KEY:shop'})",True
0.005772797325183502,frozenset({'hospital_healthcare'}),True
0.005772797325183502,"frozenset({'playground_leisure', 'TAG_KEY:leisure'})",True
0.005772797325183502,frozenset({'playground_leisure'}),True
0.005772797325183502,"frozenset({'hospital_healthcare', 'TAG_KEY:healthcare'})",True
0.00498915967923099,frozenset({'post_office'}),True
0.00498915967923099,"frozenset({'TAG_KEY:amenity', 'post_office', 'office_amenity'})",True
0.00498915967923099,"frozenset({'TAG_KEY:amenity', 'post_office'})",True
0.00498915967923099,"frozenset({'post_office', 'office_amenity'})",True
0.0049630384243659065,"frozenset({'general_store', 'TAG_KEY:shop'})",True
0.0048063108951754046,frozenset({'hardware_shop'}),True
0.0048063108951754046,"frozenset({'hardware_shop', 'TAG_KEY:shop'})",True
0.004727947130580153,"frozenset({'TAG_KEY:amenity', 'parking_amenity'})",True
0.004727947130580153,frozenset({'parking_amenity'}),True
0.004518977091659483,frozenset({'station_fuel'}),True
0.004518977091659483,"frozenset({'TAG_KEY:amenity', 'station_fuel', 'fuel_amenity'})",True
0.004518977091659483,"frozenset({'station_fuel', 'fuel_amenity'})",True
0.004518977091659483,"frozenset({'TAG_KEY:amenity', 'station_fuel'})",True
0.0044667345819293155,"frozenset({'TAG_KEY:shop', 'books_shop'})",True
0.0044667345819293155,frozenset({'books_shop'}),True
0.004440613327064232,frozenset({'stationery_shop'}),True
0.004440613327064232,"frozenset({'stationery_shop', 'TAG_KEY:shop'})",True
0.004388370817334065,"frozenset({'bakery_bakery', 'TAG_KEY:shop'})",True
0.004388370817334065,frozenset({'bakery_bakery'}),True
0.004388370817334065,"frozenset({'bakery_shop', 'bakery_bakery'})",True
0.004388370817334065,"frozenset({'bakery_shop', 'bakery_bakery', 'TAG_KEY:shop'})",True
0.004231643288143562,"frozenset({'retail_landuse', 'TAG_KEY:landuse'})",True
0.004231643288143562,frozenset({'retail_landuse'}),True
0.004179400778413395,"frozenset({'TAG_KEY:amenity', 'restaurant_restaurant'})",True
0.00407491575895306,"frozenset({'restaurant_amenity', 'restaurant_restaurant'})",True
0.00407491575895306,"frozenset({'TAG_KEY:amenity', 'restaurant_amenity', 'restaurant_restaurant'})",True
0.004048794504087977,frozenset({'police_station'}),True
0.003944309484627642,"frozenset({'police_station', 'TAG_KEY:amenity'})",True
0.0038659457200323905,"frozenset({'repair_shop', 'autos_car', 'TAG_KEY:shop'})",True
0.0038659457200323905,"frozenset({'repair_shop', 'car_repair', 'autos_car'})",True
0.0038659457200323905,"frozenset({'car_repair', 'autos_car'})",True
0.0038659457200323905,"frozenset({'repair_shop', 'autos_car'})",True
0.0038659457200323905,"frozenset({'autos_car', 'car_repair', 'TAG_KEY:shop'})",True
0.0038659457200323905,"frozenset({'repair_shop', 'autos_car', 'car_repair', 'TAG_KEY:shop'})",True
0.003813703210302223,frozenset({'sports_centre'}),True
0.003813703210302223,"frozenset({'sports_centre', 'centre_leisure'})",True
0.003813703210302223,"frozenset({'sports_centre', 'TAG_KEY:leisure'})",True
0.003813703210302223,"frozenset({'sports_centre', 'centre_leisure', 'TAG_KEY:leisure'})",True
0.0037614607005720556,"frozenset({'police_station', 'police_amenity'})",True
0.0037614607005720556,"frozenset({'police_station', 'TAG_KEY:amenity', 'police_amenity'})",True
0.0037353394457069716,frozenset({'station_police'}),True
0.0037353394457069716,"frozenset({'station_police', 'police_amenity'})",True
0.0037353394457069716,"frozenset({'TAG_KEY:amenity', 'station_police'})",True
0.0037353394457069716,"frozenset({'TAG_KEY:amenity', 'station_police', 'police_amenity'})",True
0.0036569756811117207,"frozenset({'store_convenience', 'convenience_shop'})",True
0.0036569756811117207,"frozenset({'store_convenience', 'TAG_KEY:shop'})",True
0.0036569756811117207,"frozenset({'TAG_KEY:shop', 'store_convenience', 'convenience_shop'})",True
0.0036569756811117207,frozenset({'store_convenience'}),True
0.003604733171381553,"frozenset({'mall_shop', 'mall_mall'})",True
0.003604733171381553,frozenset({'mall_mall'}),True
0.003604733171381553,"frozenset({'mall_mall', 'TAG_KEY:shop'})",True
0.003604733171381553,"frozenset({'mall_shop', 'mall_mall', 'TAG_KEY:shop'})",True
0.0035524906616513858,"frozenset({'TAG_KEY:tourism', 'restaurant_restaurant'})",True
0.0035524906616513858,"frozenset({'restaurant_restaurant', 'restaurant_tourism'})",True
0.0035524906616513858,"frozenset({'TAG_KEY:tourism', 'restaurant_restaurant', 'restaurant_tourism'})",True
0.0033696418775958,"frozenset({'TAG_KEY:amenity', 'cafe_amenity'})",True
0.0033696418775958,frozenset({'cafe_amenity'}),True
0.0032912781130005485,"frozenset({'jewelry_shop', 'jewellers_jewelry'})",True
0.0032912781130005485,"frozenset({'jewelry_shop', 'jewellers_jewelry', 'TAG_KEY:shop'})",True
0.0032912781130005485,frozenset({'jewellers_jewelry'}),True
0.0032912781130005485,"frozenset({'jewellers_jewelry', 'TAG_KEY:shop'})",True
0.00316067183867513,frozenset({'furniture_furniture'}),True
0.00316067183867513,"frozenset({'furniture_shop', 'furniture_furniture'})",True
0.00316067183867513,"frozenset({'furniture_furniture', 'TAG_KEY:shop'})",True
0.00316067183867513,"frozenset({'furniture_shop', 'furniture_furniture', 'TAG_KEY:shop'})",True
0.003134550583810046,frozenset({'gift_shop'}),True
0.003134550583810046,"frozenset({'gift_shop', 'TAG_KEY:shop'})",True
0.003056186819214795,frozenset({'real_estate'}),True
0.0030300655643497112,"frozenset({'police_station', 'station_police', 'police_amenity'})",True
0.0030300655643497112,"frozenset({'police_station', 'station_police'})",True
0.0030300655643497112,"frozenset({'police_station', 'TAG_KEY:amenity', 'station_police'})",True
0.0030300655643497112,"frozenset({'police_station', 'TAG_KEY:amenity', 'station_police', 'police_amenity'})",True
0.0030039443094846277,"frozenset({'real_estate', 'TAG_KEY:office'})",True
0.0030039443094846277,frozenset({'butcher_shop'}),True
0.0030039443094846277,"frozenset({'butcher_shop', 'TAG_KEY:shop'})",True
0.002899459290024293,"frozenset({'store_pharmacy', 'TAG_KEY:healthcare'})",True
0.002899459290024293,"frozenset({'store_pharmacy', 'pharmacy_healthcare', 'TAG_KEY:healthcare'})",True
0.002899459290024293,frozenset({'store_pharmacy'}),True
0.002899459290024293,"frozenset({'TAG_KEY:amenity', 'ice_cream'})",True
0.002899459290024293,frozenset({'ice_cream'}),True
0.002899459290024293,"frozenset({'store_pharmacy', 'pharmacy_healthcare'})",True
0.002873338035159209,"frozenset({'TAG_KEY:shop', 'salon_beauty'})",True
0.002873338035159209,"frozenset({'real_estate', 'agent_office'})",True
0.002873338035159209,"frozenset({'real_estate', 'agent_office', 'TAG_KEY:office'})",True
0.002873338035159209,frozenset({'salon_beauty'}),True
0.002873338035159209,"frozenset({'beauty_shop', 'salon_beauty'})",True
0.002873338035159209,"frozenset({'beauty_shop', 'salon_beauty', 'TAG_KEY:shop'})",True
0.0028210955254290414,"frozenset({'pump_fuel', 'fuel_amenity'})",True
0.0028210955254290414,"frozenset({'TAG_KEY:amenity', 'pump_fuel', 'fuel_amenity'})",True
0.0028210955254290414,frozenset({'pump_fuel'}),True
0.0028210955254290414,"frozenset({'TAG_KEY:amenity', 'pump_fuel'})",True
0.002768853015698874,"frozenset({'estate_estate', 'agent_office'})",True
0.002768853015698874,"frozenset({'estate_estate', 'agent_office', 'TAG_KEY:office'})",True
0.002768853015698874,"frozenset({'estate_agent', 'estate_estate', 'TAG_KEY:office'})",True
