osm_id,osm_type,group,primary_key,primary_value,name,addr_full,lat,lon,all_tags_json
20266527,way,amenity,amenity,mosque,Al-Fateh mosque,"Street 3, اسلام آباد",33.6958779,73.034178,"{""addr:city"": ""اسلام آباد"", ""addr:city:ar"": ""إسلام آباد"", ""addr:city:en"": ""Islamabad"", ""addr:city:ks"": ""اِسلام آبادٖ"", ""addr:city:pnb"": ""اسلام آباد"", ""addr:city:ps"": ""اسلام آباد"", ""addr:city:sd"": ""اسلام آباد"", ""addr:city:ur"": ""اسلام آباد"", ""addr:street"": ""Street 3"", ""amenity"": ""place_of_worship"", ""area"": ""yes"", ""name"": ""Al-Fateh mosque"", ""religion"": ""muslim""}"
260125365,way,amenity,amenity,mosque,Al-huda Mosque,"Street 39, اسلام آباد",33.6689342,72.9890919,"{""addr:city"": ""اسلام آباد"", ""addr:city:ar"": ""إسلام آباد"", ""addr:city:en"": ""Islamabad"", ""addr:city:ks"": ""اِسلام آبادٖ"", ""addr:city:pnb"": ""اسلام آباد"", ""addr:city:ps"": ""اسلام آباد"", ""addr:city:sd"": ""اسلام آباد"", ""addr:city:ur"": ""اسلام آباد"", ""addr:street"": ""Street 39"", ""building"": ""mosque"", ""name"": ""Al-huda Mosque""}"
240227602,way,amenity,amenity,mosque,Ali Hajveri Mosque,,33.6653788,72.9929327,"{""amenity"": ""place_of_worship"", ""building"": ""yes"", ""name"": ""Ali Hajveri Mosque"", ""religion"": ""muslim""}"
469549701,way,amenity,amenity,mosque,Aman Bargah,,33.6851755,72.986867,"{""building"": ""mosque"", ""name"": ""Aman Bargah""}"
469549700,way,amenity,amenity,mosque,Aman Bargah Mosque,"Aman Bargah, اسلام آباد",33.6848324,72.9868558,"{""addr:city"": ""اسلام آباد"", ""addr:city:ar"": ""إسلام آباد"", ""addr:city:en"": ""Islamabad"", ""addr:city:ks"": ""اِسلام آبادٖ"", ""addr:city:pnb"": ""اسلام آباد"", ""addr:city:ps"": ""اسلام آباد"", ""addr:city:sd"": ""اسلام آباد"", ""addr:city:ur"": ""اسلام آباد"", ""addr:street"": ""Aman Bargah"", ""amenity"": ""place_of_worship"", ""building"": ""yes"", ""denomination"": ""shia"", ""name"": ""Aman Bargah Mosque"", ""religion"": ""muslim""}"
23620808,way,amenity,amenity,mosque,Ashra Mubashra Masjid,"Street 8, اسلام آباد",33.6967204,73.0407321,"{""addr:city"": ""اسلام آباد"", ""addr:city:ar"": ""إسلام آباد"", ""addr:city:en"": ""Islamabad"", ""addr:city:ks"": ""اِسلام آبادٖ"", ""addr:city:pnb"": ""اسلام آباد"", ""addr:city:ps"": ""اسلام آباد"", ""addr:city:sd"": ""اسلام آباد"", ""addr:city:ur"": ""اسلام آباد"", ""addr:street"": ""Street 8"", ""amenity"": ""place_of_worship"", ""area"": ""yes"", ""denomination"": ""sunni"", ""name"": ""Ashra Mubashra Masjid"", ""religion"": ""muslim""}"
460564931,way,amenity,amenity,mosque,Bab ul ilm Masjid,,33.6667887,73.070611,"{""amenity"": ""place_of_worship"", ""building"": ""yes"", ""denomination"": ""shia"", ""name"": ""Bab ul ilm Masjid"", ""name:ur"": ""مسجد باب العلم"", ""religion"": ""muslim""}"
4139137690,node,amenity,amenity,mosque,Bari Imam Darbar,Nurpur Road,33.7447116,73.1106581,"{""addr:street"": ""Nurpur Road"", ""amenity"": ""place_of_worship"", ""name"": ""Bari Imam Darbar"", ""opening_hours"": ""24/7"", ""religion"": ""muslim""}"
460564217,way,amenity,amenity,mosque,Darbar Mosque,,33.6629624,73.0697205,"{""amenity"": ""place_of_worship"", ""building"": ""yes"", ""name"": ""Darbar Mosque"", ""religion"": ""muslim""}"
2412750108,node,amenity,amenity,mosque,F-10 Markaz Masjid,"10th Avenue, اسلام آباد",33.6970988,73.0122931,"{""addr:city"": ""اسلام آباد"", ""addr:city:ar"": ""إسلام آباد"", ""addr:city:en"": ""Islamabad"", ""addr:city:ks"": ""اِسلام آبادٖ"", ""addr:city:pnb"": ""اسلام آباد"", ""addr:city:ps"": ""اسلام آباد"", ""addr:city:sd"": ""اسلام آباد"", ""addr:city:ur"": ""اسلام آباد"", ""addr:street"": ""10th Avenue"", ""amenity"": ""place_of_worship"", ""name"": ""F-10 Markaz Masjid"", ""religion"": ""muslim""}"
23545390,way,amenity,amenity,mosque,Farooq-e-Azam Masjid,"Street 73, اسلام آباد",33.6926694,73.038803,"{""addr:city"": ""اسلام آباد"", ""addr:city:ar"": ""إسلام آباد"", ""addr:city:en"": ""Islamabad"", ""addr:city:ks"": ""اِسلام آبادٖ"", ""addr:city:pnb"": ""اسلام آباد"", ""addr:city:ps"": ""اسلام آباد"", ""addr:city:sd"": ""اسلام آباد"", ""addr:city:ur"": ""اسلام آباد"", ""addr:street"": ""Street 73"", ""amenity"": ""place_of_worship"", ""area"": ""yes"", ""denomination"": ""sunni"", ""name"": ""Farooq-e-Azam Masjid"", ""religion"": ""muslim""}"
240128962,way,amenity,amenity,mosque,Ghafooria Masjid,Street 78,33.6691605,72.9940124,"{""addr2:street"": ""Street 76"", ""addr:street"": ""Street 78"", ""amenity"": ""place_of_worship"", ""building"": ""yes"", ""denomination"": ""sunni"", ""name"": ""Ghafooria Masjid"", ""religion"": ""muslim""}"
455366349,way,amenity,amenity,mosque,Gulshan e Mustafa,,33.6616455,73.0677073,"{""amenity"": ""place_of_worship"", ""building"": ""yes"", ""name"": ""Gulshan e Mustafa"", ""religion"": ""muslim""}"
4887841035,node,amenity,amenity,mosque,Ibn Taymiyyah Mosque,"Street 19, اسلام آباد",33.6800843,73.0099883,"{""addr:city"": ""اسلام آباد"", ""addr:city:ar"": ""إسلام آباد"", ""addr:city:en"": ""Islamabad"", ""addr:city:ks"": ""اِسلام آبادٖ"", ""addr:city:pnb"": ""اسلام آباد"", ""addr:city:ps"": ""اسلام آباد"", ""addr:city:sd"": ""اسلام آباد"", ""addr:city:ur"": ""اسلام آباد"", ""addr:street"": ""Street 19"", ""amenity"": ""place_of_worship"", ""name"": ""Ibn Taymiyyah Mosque"", ""religion"": ""muslim""}"
1581372040,node,amenity,amenity,mosque,Jam-e-masjid Chishtia,"Street 56, اسلام آباد",33.7131642,73.072613,"{""addr:city"": ""اسلام آباد"", ""addr:city:ar"": ""إسلام آباد"", ""addr:city:en"": ""Islamabad"", ""addr:city:ks"": ""اِسلام آبادٖ"", ""addr:city:pnb"": ""اسلام آباد"", ""addr:city:ps"": ""اسلام آباد"", ""addr:city:sd"": ""اسلام آباد"", ""addr:city:ur"": ""اسلام آباد"", ""addr:street"": ""Street 56"", ""amenity"": ""place_of_worship"", ""name"": ""Jam-e-masjid Chishtia"", ""religion"": ""muslim""}"
256052672,node,amenity,amenity,mosque,Jama Masjid-e-Murtaza,"Street 33, اسلام آباد",33.699839,73.0681513,"{""addr:city"": ""اسلام آباد"", ""addr:city:ar"": ""إسلام آباد"", ""addr:city:en"": ""Islamabad"", ""addr:city:ks"": ""اِسلام آبادٖ"", ""addr:city:pnb"": ""اسلام آباد"", ""addr:city:ps"": ""اسلام آباد"", ""addr:city:sd"": ""اسلام آباد"", ""addr:city:ur"": ""اسلام آباد"", ""addr:street"": ""Street 33"", ""amenity"": ""place_of_worship"", ""denomination"": ""sunni"", ""name"": ""Jama Masjid-e-Murtaza"", ""religion"": ""muslim""}"
158536096,way,amenity,amenity,mosque,Jama-e-Masjid Mustafa,"Street 43, اسلام آباد",33.7053285,73.0747958,"{""addr:city"": ""اسلام آباد"", ""addr:city:ar"": ""إسلام آباد"", ""addr:city:en"": ""Islamabad"", ""addr:city:ks"": ""اِسلام آبادٖ"", ""addr:city:pnb"": ""اسلام آباد"", ""addr:city:ps"": ""اسلام آباد"", ""addr:city:sd"": ""اسلام آباد"", ""addr:city:ur"": ""اسلام آباد"", ""addr:street"": ""Street 43"", ""amenity"": ""place_of_worship"", ""denomination"": ""sunni"", ""name"": ""Jama-e-Masjid Mustafa"", ""religion"": ""muslim""}"
23056234,way,amenity,amenity,mosque,Jamia Bahar-e-Madina,"Gali 70, اسلام آباد",33.6782013,73.0245482,"{""addr:city"": ""اسلام آباد"", ""addr:city:ar"": ""إسلام آباد"", ""addr:city:en"": ""Islamabad"", ""addr:city:ks"": ""اِسلام آبادٖ"", ""addr:city:pnb"": ""اسلام آباد"", ""addr:city:ps"": ""اسلام آباد"", ""addr:city:sd"": ""اسلام آباد"", ""addr:city:ur"": ""اسلام آباد"", ""addr:street"": ""Gali 70"", ""amenity"": ""place_of_worship"", ""area"": ""yes"", ""denomination"": ""sunni"", ""name"": ""Jamia Bahar-e-Madina"", ""religion"": ""muslim""}"
4889677924,node,amenity,amenity,mosque,Jamia Masjid Al-Furqan Ahle Hadith,"Street 54, اسلام آباد",33.6825414,73.0393345,"{""addr:city"": ""اسلام آباد"", ""addr:city:ar"": ""إسلام آباد"", ""addr:city:en"": ""Islamabad"", ""addr:city:ks"": ""اِسلام آبادٖ"", ""addr:city:pnb"": ""اسلام آباد"", ""addr:city:ps"": ""اسلام آباد"", ""addr:city:sd"": ""اسلام آباد"", ""addr:city:ur"": ""اسلام آباد"", ""addr:street"": ""Street 54"", ""amenity"": ""place_of_worship"", ""name"": ""Jamia Masjid Al-Furqan Ahle Hadith"", ""religion"": ""muslim""}"
4880297960,node,amenity,amenity,mosque,Jamia Masjid Al-Muzammil,"Street 100, اسلام آباد",33.6764854,72.9988899,"{""addr:city"": ""اسلام آباد"", ""addr:city:ar"": ""إسلام آباد"", ""addr:city:en"": ""Islamabad"", ""addr:city:ks"": ""اِسلام آبادٖ"", ""addr:city:pnb"": ""اسلام آباد"", ""addr:city:ps"": ""اسلام آباد"", ""addr:city:sd"": ""اسلام آباد"", ""addr:city:ur"": ""اسلام آباد"", ""addr:street"": ""Street 100"", ""amenity"": ""place_of_worship"", ""name"": ""Jamia Masjid Al-Muzammil"", ""religion"": ""muslim""}"
352535712,way,amenity,amenity,mosque,Jamia Masjid Al-Rehman G-9/2,"Street 16, اسلام آباد",33.6894751,73.0222292,"{""addr:city"": ""اسلام آباد"", ""addr:city:ar"": ""إسلام آباد"", ""addr:city:en"": ""Islamabad"", ""addr:city:ks"": ""اِسلام آبادٖ"", ""addr:city:pnb"": ""اسلام آباد"", ""addr:city:ps"": ""اسلام آباد"", ""addr:city:sd"": ""اسلام آباد"", ""addr:city:ur"": ""اسلام آباد"", ""addr:street"": ""Street 16"", ""amenity"": ""place_of_worship"", ""building"": ""yes"", ""denomination"": ""sunni"", ""name"": ""Jamia Masjid Al-Rehman G-9/2"", ""religion"": ""muslim""}"
275774076,node,amenity,amenity,mosque,Jamia Masjid Anwar-ul-khair,"Street 43, اسلام آباد",33.6801249,73.0226432,"{""addr:city"": ""اسلام آباد"", ""addr:city:ar"": ""إسلام آباد"", ""addr:city:en"": ""Islamabad"", ""addr:city:ks"": ""اِسلام آبادٖ"", ""addr:city:pnb"": ""اسلام آباد"", ""addr:city:ps"": ""اسلام آباد"", ""addr:city:sd"": ""اسلام آباد"", ""addr:city:ur"": ""اسلام آباد"", ""addr:street"": ""Street 43"", ""amenity"": ""place_of_worship"", ""denomination"": ""sunni"", ""name"": ""Jamia Masjid Anwar-ul-khair"", ""religion"": ""muslim""}"
23624906,way,amenity,amenity,mosque,Jamia Masjid As-Siddiq,"Street 27, اسلام آباد",33.6956063,73.0594001,"{""addr:city"": ""اسلام آباد"", ""addr:city:ar"": ""إسلام آباد"", ""addr:city:en"": ""Islamabad"", ""addr:city:ks"": ""اِسلام آبادٖ"", ""addr:city:pnb"": ""اسلام آباد"", ""addr:city:ps"": ""اسلام آباد"", ""addr:city:sd"": ""اسلام آباد"", ""addr:city:ur"": ""اسلام آباد"", ""addr:street"": ""Street 27"", ""amenity"": ""place_of_worship"", ""area"": ""yes"", ""denomination"": ""sunni"", ""name"": ""Jamia Masjid As-Siddiq"", ""religion"": ""muslim""}"
4887841037,node,amenity,amenity,mosque,Jamia Masjid Imam e Azam,"Gali 22E, اسلام آباد",33.6752988,73.0093096,"{""addr:city"": ""اسلام آباد"", ""addr:city:ar"": ""إسلام آباد"", ""addr:city:en"": ""Islamabad"", ""addr:city:ks"": ""اِسلام آبادٖ"", ""addr:city:pnb"": ""اسلام آباد"", ""addr:city:ps"": ""اسلام آباد"", ""addr:city:sd"": ""اسلام آباد"", ""addr:city:ur"": ""اسلام آباد"", ""addr:street"": ""Gali 22E"", ""amenity"": ""place_of_worship"", ""name"": ""Jamia Masjid Imam e Azam"", ""religion"": ""muslim""}"
271500708,way,amenity,amenity,mosque,Jamia Masjid Muhammadi Hanfia,,33.665566,73.1555248,"{""amenity"": ""place_of_worship"", ""building"": ""yes"", ""name"": ""Jamia Masjid Muhammadi Hanfia"", ""religion"": ""muslim""}"
23635519,way,amenity,amenity,mosque,Jamia Masjid Qutab Shaheed,"Street 63, اسلام آباد",33.7126842,73.0926487,"{""addr:city"": ""اسلام آباد"", ""addr:city:ar"": ""إسلام آباد"", ""addr:city:en"": ""Islamabad"", ""addr:city:ks"": ""اِسلام آبادٖ"", ""addr:city:pnb"": ""اسلام آباد"", ""addr:city:ps"": ""اسلام آباد"", ""addr:city:sd"": ""اسلام آباد"", ""addr:city:ur"": ""اسلام آباد"", ""addr:street"": ""Street 63"", ""amenity"": ""place_of_worship"", ""area"": ""yes"", ""denomination"": ""sunni"", ""name"": ""Jamia Masjid Qutab Shaheed"", ""religion"": ""muslim""}"
4963977788,node,amenity,amenity,mosque,Jamia Masjid Rahmatulil Alameen,"Nazim ud Din Road, اسلام آباد",33.7070594,73.0461113,"{""addr:city"": ""اسلام آباد"", ""addr:city:ar"": ""إسلام آباد"", ""addr:city:en"": ""Islamabad"", ""addr:city:ks"": ""اِسلام آبادٖ"", ""addr:city:pnb"": ""اسلام آباد"", ""addr:city:ps"": ""اسلام آباد"", ""addr:city:sd"": ""اسلام آباد"", ""addr:city:ur"": ""اسلام آباد"", ""addr:street"": ""Nazim ud Din Road"", ""amenity"": ""place_of_worship"", ""building"": ""mosque"", ""name"": ""Jamia Masjid Rahmatulil Alameen"", ""religion"": ""muslim""}"
4889677810,node,amenity,amenity,mosque,Jamia Masjid Riyadh ul Jannah,"Service Road West G-9, اسلام آباد",33.6774513,73.0292382,"{""addr:city"": ""اسلام آباد"", ""addr:city:ar"": ""إسلام آباد"", ""addr:city:en"": ""Islamabad"", ""addr:city:ks"": ""اِسلام آبادٖ"", ""addr:city:pnb"": ""اسلام آباد"", ""addr:city:ps"": ""اسلام آباد"", ""addr:city:sd"": ""اسلام آباد"", ""addr:city:ur"": ""اسلام آباد"", ""addr:street"": ""Service Road West G-9"", ""amenity"": ""place_of_worship"", ""name"": ""Jamia Masjid Riyadh ul Jannah"", ""religion"": ""muslim""}"
4880251643,node,amenity,amenity,mosque,Jamia Masjid al-Hujjat,"Nazim ud Din Road, اسلام آباد",33.6726138,72.9861044,"{""addr:city"": ""اسلام آباد"", ""addr:city:ar"": ""إسلام آباد"", ""addr:city:en"": ""Islamabad"", ""addr:city:ks"": ""اِسلام آبادٖ"", ""addr:city:pnb"": ""اسلام آباد"", ""addr:city:ps"": ""اسلام آباد"", ""addr:city:sd"": ""اسلام آباد"", ""addr:city:ur"": ""اسلام آباد"", ""addr:street"": ""Nazim ud Din Road"", ""amenity"": ""place_of_worship"", ""name"": ""Jamia Masjid al-Hujjat"", ""religion"": ""muslim""}"
158535065,way,amenity,amenity,mosque,Jamia Msjid Al Raza,"Rehman Baba Road, اسلام آباد",33.7059519,73.0703855,"{""addr:city"": ""اسلام آباد"", ""addr:city:ar"": ""إسلام آباد"", ""addr:city:en"": ""Islamabad"", ""addr:city:ks"": ""اِسلام آبادٖ"", ""addr:city:pnb"": ""اسلام آباد"", ""addr:city:ps"": ""اسلام آباد"", ""addr:city:sd"": ""اسلام آباد"", ""addr:city:ur"": ""اسلام آباد"", ""addr:street"": ""Rehman Baba Road"", ""amenity"": ""place_of_worship"", ""name"": ""Jamia Msjid Al Raza"", ""religion"": ""muslim""}"
4889744123,node,amenity,amenity,mosque,Jamia Naeemia Masjid,"Neelum Road, اسلام آباد",33.6914958,73.0409322,"{""addr:city"": ""اسلام آباد"", ""addr:city:ar"": ""إسلام آباد"", ""addr:city:en"": ""Islamabad"", ""addr:city:ks"": ""اِسلام آبادٖ"", ""addr:city:pnb"": ""اسلام آباد"", ""addr:city:ps"": ""اسلام آباد"", ""addr:city:sd"": ""اسلام آباد"", ""addr:city:ur"": ""اسلام آباد"", ""addr:street"": ""Neelum Road"", ""amenity"": ""place_of_worship"", ""name"": ""Jamia Naeemia Masjid"", ""religion"": ""muslim""}"
313218652,node,amenity,amenity,mosque,Jamia Tul Murtaza,"Street 55, اسلام آباد",33.6818535,73.036468,"{""addr:city"": ""اسلام آباد"", ""addr:city:ar"": ""إسلام آباد"", ""addr:city:en"": ""Islamabad"", ""addr:city:ks"": ""اِسلام آبادٖ"", ""addr:city:pnb"": ""اسلام آباد"", ""addr:city:ps"": ""اسلام آباد"", ""addr:city:sd"": ""اسلام آباد"", ""addr:city:ur"": ""اسلام آباد"", ""addr:street"": ""Street 55"", ""amenity"": ""place_of_worship"", ""denomination"": ""shia"", ""name"": ""Jamia Tul Murtaza"", ""religion"": ""muslim""}"
255263515,node,amenity,amenity,mosque,Jamia masjid Mai reshman,,33.6704887,72.990963,"{""amenity"": ""place_of_worship"", ""denomination"": ""sunni"", ""name"": ""Jamia masjid Mai reshman"", ""religion"": ""muslim""}"
4887841051,node,amenity,amenity,mosque,Jammia Masjid Muhammadiya (Ahle Hadees),"Street 36, اسلام آباد",33.6710524,73.0177486,"{""addr:city"": ""اسلام آباد"", ""addr:city:ar"": ""إسلام آباد"", ""addr:city:en"": ""Islamabad"", ""addr:city:ks"": ""اِسلام آبادٖ"", ""addr:city:pnb"": ""اسلام آباد"", ""addr:city:ps"": ""اسلام آباد"", ""addr:city:sd"": ""اسلام آباد"", ""addr:city:ur"": ""اسلام آباد"", ""addr:street"": ""Street 36"", ""amenity"": ""place_of_worship"", ""name"": ""Jammia Masjid Muhammadiya (Ahle Hadees)"", ""religion"": ""muslim""}"
23510212,way,amenity,amenity,mosque,Jilania Masjid,"Gali 75, اسلام آباد",33.6930356,73.0459113,"{""addr:city"": ""اسلام آباد"", ""addr:city:ar"": ""إسلام آباد"", ""addr:city:en"": ""Islamabad"", ""addr:city:ks"": ""اِسلام آبادٖ"", ""addr:city:pnb"": ""اسلام آباد"", ""addr:city:ps"": ""اسلام آباد"", ""addr:city:sd"": ""اسلام آباد"", ""addr:city:ur"": ""اسلام آباد"", ""addr:street"": ""Gali 75"", ""amenity"": ""place_of_worship"", ""area"": ""yes"", ""denomination"": ""sunni"", ""name"": ""Jilania Masjid"", ""religion"": ""muslim""}"
497414884,way,amenity,amenity,mosque,Karimabad Jamat Khana,"Street 53, اسلام آباد",33.6859892,73.0303035,"{""addr:city"": ""اسلام آباد"", ""addr:city:ar"": ""إسلام آباد"", ""addr:city:en"": ""Islamabad"", ""addr:city:ks"": ""اِسلام آبادٖ"", ""addr:city:pnb"": ""اسلام آباد"", ""addr:city:ps"": ""اسلام آباد"", ""addr:city:sd"": ""اسلام آباد"", ""addr:city:ur"": ""اسلام آباد"", ""addr:street"": ""Street 53"", ""amenity"": ""place_of_worship"", ""building"": ""yes"", ""name"": ""Karimabad Jamat Khana"", ""religion"": ""muslim""}"
4889677807,node,amenity,amenity,mosque,Khan Market Masjid,"Street 69, اسلام آباد",33.6836888,73.0209648,"{""addr:city"": ""اسلام آباد"", ""addr:city:ar"": ""إسلام آباد"", ""addr:city:en"": ""Islamabad"", ""addr:city:ks"": ""اِسلام آبادٖ"", ""addr:city:pnb"": ""اسلام آباد"", ""addr:city:ps"": ""اسلام آباد"", ""addr:city:sd"": ""اسلام آباد"", ""addr:city:ur"": ""اسلام آباد"", ""addr:street"": ""Street 69"", ""amenity"": ""place_of_worship"", ""name"": ""Khan Market Masjid"", ""religion"": ""muslim""}"
2191271157,node,amenity,amenity,mosque,Khulfa Rashideen,,33.6905206,73.0262107,"{""amenity"": ""place_of_worship"", ""denomination"": ""sunni"", ""name"": ""Khulfa Rashideen"", ""religion"": ""muslim"", ""source"": ""Local Knowledge""}"
