class_label,k,support,support_frac,items,items_readable,items_list,has_tag,has_token,mixed
amenity:cafe,3,3,0.05,f-6_service|south|اسلام,"f-6_service, south, اسلام","['f-6_service', 'south', 'اسلام']",False,True,False
amenity:cafe,3,3,0.05,f-6_service|south|اسلام_آباد,"f-6_service, south, اسلام_آباد","['f-6_service', 'south', 'اسلام_آباد']",False,True,False
amenity:cafe,3,3,0.05,f-6_service|tag:amenity=cafe|west,"f-6_service, tag:amenity=cafe, west","['f-6_service', 'tag:amenity=cafe', 'west']",True,True,True
amenity:cafe,3,3,0.05,f-6_service|tag:amenity=cafe|west_f-6,"f-6_service, tag:amenity=cafe, west_f-6","['f-6_service', 'tag:amenity=cafe', 'west_f-6']",True,True,True
amenity:cafe,3,3,0.05,f-6_service|tag:amenity=cafe|آباد,"f-6_service, tag:amenity=cafe, آباد","['f-6_service', 'tag:amenity=cafe', 'آباد']",True,True,True
amenity:cafe,3,3,0.05,f-6_service|tag:amenity=cafe|اسلام,"f-6_service, tag:amenity=cafe, اسلام","['f-6_service', 'tag:amenity=cafe', 'اسلام']",True,True,True
amenity:cafe,3,3,0.05,f-6_service|tag:amenity=cafe|اسلام_آباد,"f-6_service, tag:amenity=cafe, اسلام_آباد","['f-6_service', 'tag:amenity=cafe', 'اسلام_آباد']",True,True,True
amenity:cafe,3,3,0.05,f-6_service|west_f-6|آباد,"f-6_service, west_f-6, آباد","['f-6_service', 'west_f-6', 'آباد']",False,True,False
amenity:cafe,3,3,0.05,f-6_service|west_f-6|اسلام,"f-6_service, west_f-6, اسلام","['f-6_service', 'west_f-6', 'اسلام']",False,True,False
amenity:cafe,3,3,0.05,f-6_service|west_f-6|اسلام_آباد,"f-6_service, west_f-6, اسلام_آباد","['f-6_service', 'west_f-6', 'اسلام_آباد']",False,True,False
amenity:cafe,3,3,0.05,f-6_service|west|west_f-6,"f-6_service, west, west_f-6","['f-6_service', 'west', 'west_f-6']",False,True,False
amenity:cafe,3,3,0.05,f-6_service|west|آباد,"f-6_service, west, آباد","['f-6_service', 'west', 'آباد']",False,True,False
amenity:cafe,3,3,0.05,f-6_service|west|اسلام,"f-6_service, west, اسلام","['f-6_service', 'west', 'اسلام']",False,True,False
amenity:cafe,3,3,0.05,f-6_service|west|اسلام_آباد,"f-6_service, west, اسلام_آباد","['f-6_service', 'west', 'اسلام_آباد']",False,True,False
amenity:cafe,3,3,0.05,f-6_service|آباد|اسلام,"f-6_service, آباد, اسلام","['f-6_service', 'آباد', 'اسلام']",False,True,False
amenity:cafe,3,3,0.05,f-6_service|آباد|اسلام_آباد,"f-6_service, آباد, اسلام_آباد","['f-6_service', 'آباد', 'اسلام_آباد']",False,True,False
amenity:cafe,3,3,0.05,f-6_service|اسلام|اسلام_آباد,"f-6_service, اسلام, اسلام_آباد","['f-6_service', 'اسلام', 'اسلام_آباد']",False,True,False
amenity:cafe,3,3,0.05,f-6_اسلام|islamabad_service|service,"f-6_اسلام, islamabad_service, service","['f-6_اسلام', 'islamabad_service', 'service']",False,True,False
amenity:cafe,3,3,0.05,f-6_اسلام|islamabad_service|service_south,"f-6_اسلام, islamabad_service, service_south","['f-6_اسلام', 'islamabad_service', 'service_south']",False,True,False
amenity:cafe,3,3,0.05,f-6_اسلام|islamabad_service|service_west,"f-6_اسلام, islamabad_service, service_west","['f-6_اسلام', 'islamabad_service', 'service_west']",False,True,False
amenity:cafe,3,3,0.05,f-6_اسلام|islamabad_service|south,"f-6_اسلام, islamabad_service, south","['f-6_اسلام', 'islamabad_service', 'south']",False,True,False
amenity:cafe,3,3,0.05,f-6_اسلام|islamabad_service|south_f-6,"f-6_اسلام, islamabad_service, south_f-6","['f-6_اسلام', 'islamabad_service', 'south_f-6']",False,True,False
amenity:cafe,3,3,0.05,f-6_اسلام|islamabad_service|tag:amenity=cafe,"f-6_اسلام, islamabad_service, tag:amenity=cafe","['f-6_اسلام', 'islamabad_service', 'tag:amenity=cafe']",True,True,True
amenity:cafe,3,3,0.05,f-6_اسلام|islamabad_service|west,"f-6_اسلام, islamabad_service, west","['f-6_اسلام', 'islamabad_service', 'west']",False,True,False
amenity:cafe,3,3,0.05,f-6_اسلام|islamabad_service|west_f-6,"f-6_اسلام, islamabad_service, west_f-6","['f-6_اسلام', 'islamabad_service', 'west_f-6']",False,True,False
amenity:cafe,3,3,0.05,f-6_اسلام|islamabad_service|آباد,"f-6_اسلام, islamabad_service, آباد","['f-6_اسلام', 'islamabad_service', 'آباد']",False,True,False
amenity:cafe,3,3,0.05,f-6_اسلام|islamabad_service|اسلام,"f-6_اسلام, islamabad_service, اسلام","['f-6_اسلام', 'islamabad_service', 'اسلام']",False,True,False
amenity:cafe,3,3,0.05,f-6_اسلام|islamabad_service|اسلام_آباد,"f-6_اسلام, islamabad_service, اسلام_آباد","['f-6_اسلام', 'islamabad_service', 'اسلام_آباد']",False,True,False
amenity:cafe,3,3,0.05,f-6_اسلام|islamabad|islamabad_service,"f-6_اسلام, islamabad, islamabad_service","['f-6_اسلام', 'islamabad', 'islamabad_service']",False,True,False
amenity:cafe,3,3,0.05,f-6_اسلام|islamabad|service,"f-6_اسلام, islamabad, service","['f-6_اسلام', 'islamabad', 'service']",False,True,False
amenity:cafe,3,3,0.05,f-6_اسلام|islamabad|service_south,"f-6_اسلام, islamabad, service_south","['f-6_اسلام', 'islamabad', 'service_south']",False,True,False
amenity:cafe,3,3,0.05,f-6_اسلام|islamabad|service_west,"f-6_اسلام, islamabad, service_west","['f-6_اسلام', 'islamabad', 'service_west']",False,True,False
amenity:cafe,3,3,0.05,f-6_اسلام|islamabad|south,"f-6_اسلام, islamabad, south","['f-6_اسلام', 'islamabad', 'south']",False,True,False
amenity:cafe,3,3,0.05,f-6_اسلام|islamabad|south_f-6,"f-6_اسلام, islamabad, south_f-6","['f-6_اسلام', 'islamabad', 'south_f-6']",False,True,False
amenity:cafe,3,3,0.05,f-6_اسلام|islamabad|tag:amenity=cafe,"f-6_اسلام, islamabad, tag:amenity=cafe","['f-6_اسلام', 'islamabad', 'tag:amenity=cafe']",True,True,True
amenity:cafe,3,3,0.05,f-6_اسلام|islamabad|west,"f-6_اسلام, islamabad, west","['f-6_اسلام', 'islamabad', 'west']",False,True,False
amenity:cafe,3,3,0.05,f-6_اسلام|islamabad|west_f-6,"f-6_اسلام, islamabad, west_f-6","['f-6_اسلام', 'islamabad', 'west_f-6']",False,True,False
amenity:cafe,3,3,0.05,f-6_اسلام|islamabad|آباد,"f-6_اسلام, islamabad, آباد","['f-6_اسلام', 'islamabad', 'آباد']",False,True,False
amenity:cafe,3,3,0.05,f-6_اسلام|islamabad|اسلام,"f-6_اسلام, islamabad, اسلام","['f-6_اسلام', 'islamabad', 'اسلام']",False,True,False
amenity:cafe,3,3,0.05,f-6_اسلام|islamabad|اسلام_آباد,"f-6_اسلام, islamabad, اسلام_آباد","['f-6_اسلام', 'islamabad', 'اسلام_آباد']",False,True,False
amenity:cafe,3,3,0.05,f-6_اسلام|service_south|service_west,"f-6_اسلام, service_south, service_west","['f-6_اسلام', 'service_south', 'service_west']",False,True,False
amenity:cafe,3,3,0.05,f-6_اسلام|service_south|south,"f-6_اسلام, service_south, south","['f-6_اسلام', 'service_south', 'south']",False,True,False
amenity:cafe,3,3,0.05,f-6_اسلام|service_south|south_f-6,"f-6_اسلام, service_south, south_f-6","['f-6_اسلام', 'service_south', 'south_f-6']",False,True,False
amenity:cafe,3,3,0.05,f-6_اسلام|service_south|tag:amenity=cafe,"f-6_اسلام, service_south, tag:amenity=cafe","['f-6_اسلام', 'service_south', 'tag:amenity=cafe']",True,True,True
amenity:cafe,3,3,0.05,f-6_اسلام|service_south|west,"f-6_اسلام, service_south, west","['f-6_اسلام', 'service_south', 'west']",False,True,False
amenity:cafe,3,3,0.05,f-6_اسلام|service_south|west_f-6,"f-6_اسلام, service_south, west_f-6","['f-6_اسلام', 'service_south', 'west_f-6']",False,True,False
amenity:cafe,3,3,0.05,f-6_اسلام|service_south|آباد,"f-6_اسلام, service_south, آباد","['f-6_اسلام', 'service_south', 'آباد']",False,True,False
amenity:cafe,3,3,0.05,f-6_اسلام|service_south|اسلام,"f-6_اسلام, service_south, اسلام","['f-6_اسلام', 'service_south', 'اسلام']",False,True,False
amenity:cafe,3,3,0.05,f-6_اسلام|service_south|اسلام_آباد,"f-6_اسلام, service_south, اسلام_آباد","['f-6_اسلام', 'service_south', 'اسلام_آباد']",False,True,False
amenity:cafe,3,3,0.05,f-6_اسلام|service_west|south,"f-6_اسلام, service_west, south","['f-6_اسلام', 'service_west', 'south']",False,True,False
amenity:cafe,3,3,0.05,f-6_اسلام|service_west|south_f-6,"f-6_اسلام, service_west, south_f-6","['f-6_اسلام', 'service_west', 'south_f-6']",False,True,False
amenity:cafe,3,3,0.05,f-6_اسلام|service_west|tag:amenity=cafe,"f-6_اسلام, service_west, tag:amenity=cafe","['f-6_اسلام', 'service_west', 'tag:amenity=cafe']",True,True,True
amenity:cafe,3,3,0.05,f-6_اسلام|service_west|west,"f-6_اسلام, service_west, west","['f-6_اسلام', 'service_west', 'west']",False,True,False
amenity:cafe,3,3,0.05,f-6_اسلام|service_west|west_f-6,"f-6_اسلام, service_west, west_f-6","['f-6_اسلام', 'service_west', 'west_f-6']",False,True,False
amenity:cafe,3,3,0.05,f-6_اسلام|service_west|آباد,"f-6_اسلام, service_west, آباد","['f-6_اسلام', 'service_west', 'آباد']",False,True,False
amenity:cafe,3,3,0.05,f-6_اسلام|service_west|اسلام,"f-6_اسلام, service_west, اسلام","['f-6_اسلام', 'service_west', 'اسلام']",False,True,False
amenity:cafe,3,3,0.05,f-6_اسلام|service_west|اسلام_آباد,"f-6_اسلام, service_west, اسلام_آباد","['f-6_اسلام', 'service_west', 'اسلام_آباد']",False,True,False
amenity:cafe,3,3,0.05,f-6_اسلام|service|service_south,"f-6_اسلام, service, service_south","['f-6_اسلام', 'service', 'service_south']",False,True,False
amenity:cafe,3,3,0.05,f-6_اسلام|service|service_west,"f-6_اسلام, service, service_west","['f-6_اسلام', 'service', 'service_west']",False,True,False
amenity:cafe,3,3,0.05,f-6_اسلام|service|south,"f-6_اسلام, service, south","['f-6_اسلام', 'service', 'south']",False,True,False
amenity:cafe,3,3,0.05,f-6_اسلام|service|south_f-6,"f-6_اسلام, service, south_f-6","['f-6_اسلام', 'service', 'south_f-6']",False,True,False
amenity:cafe,3,3,0.05,f-6_اسلام|service|tag:amenity=cafe,"f-6_اسلام, service, tag:amenity=cafe","['f-6_اسلام', 'service', 'tag:amenity=cafe']",True,True,True
amenity:cafe,3,3,0.05,f-6_اسلام|service|west,"f-6_اسلام, service, west","['f-6_اسلام', 'service', 'west']",False,True,False
amenity:cafe,3,3,0.05,f-6_اسلام|service|west_f-6,"f-6_اسلام, service, west_f-6","['f-6_اسلام', 'service', 'west_f-6']",False,True,False
amenity:cafe,3,3,0.05,f-6_اسلام|service|آباد,"f-6_اسلام, service, آباد","['f-6_اسلام', 'service', 'آباد']",False,True,False
amenity:cafe,3,3,0.05,f-6_اسلام|service|اسلام,"f-6_اسلام, service, اسلام","['f-6_اسلام', 'service', 'اسلام']",False,True,False
amenity:cafe,3,3,0.05,f-6_اسلام|service|اسلام_آباد,"f-6_اسلام, service, اسلام_آباد","['f-6_اسلام', 'service', 'اسلام_آباد']",False,True,False
amenity:cafe,3,3,0.05,f-6_اسلام|south_f-6|tag:amenity=cafe,"f-6_اسلام, south_f-6, tag:amenity=cafe","['f-6_اسلام', 'south_f-6', 'tag:amenity=cafe']",True,True,True
amenity:cafe,3,3,0.05,f-6_اسلام|south_f-6|west,"f-6_اسلام, south_f-6, west","['f-6_اسلام', 'south_f-6', 'west']",False,True,False
