k,support,support_frac,items,items_readable
3,100,0.107991,islamabad|school_islamabad|tag:amenity=school,"islamabad, school_islamabad, tag:amenity=school"
3,100,0.107991,islamabad|school|school_islamabad,"islamabad, school, school_islamabad"
3,100,0.107991,islamabad|school|tag:amenity=school,"islamabad, school, tag:amenity=school"
3,100,0.107991,school|school_islamabad|tag:amenity=school,"school, school_islamabad, tag:amenity=school"
3,75,0.080994,amenity|islamabad|restaurant,"amenity, islamabad, restaurant"
3,74,0.079914,amenity_restaurant|islamabad|restaurant,"amenity_restaurant, islamabad, restaurant"
3,74,0.079914,amenity_restaurant|islamabad|restaurant_islamabad,"amenity_restaurant, islamabad, restaurant_islamabad"
3,74,0.079914,amenity_restaurant|islamabad|tag:amenity=restaurant,"amenity_restaurant, islamabad, tag:amenity=restaurant"
3,74,0.079914,amenity_restaurant|restaurant_islamabad|tag:amenity=restaurant,"amenity_restaurant, restaurant_islamabad, tag:amenity=restaurant"
3,74,0.079914,amenity_restaurant|restaurant|restaurant_islamabad,"amenity_restaurant, restaurant, restaurant_islamabad"
3,74,0.079914,amenity_restaurant|restaurant|tag:amenity=restaurant,"amenity_restaurant, restaurant, tag:amenity=restaurant"
3,74,0.079914,amenity|amenity_restaurant|islamabad,"amenity, amenity_restaurant, islamabad"
3,74,0.079914,amenity|amenity_restaurant|restaurant,"amenity, amenity_restaurant, restaurant"
3,74,0.079914,amenity|amenity_restaurant|restaurant_islamabad,"amenity, amenity_restaurant, restaurant_islamabad"
3,74,0.079914,amenity|amenity_restaurant|tag:amenity=restaurant,"amenity, amenity_restaurant, tag:amenity=restaurant"
3,74,0.079914,amenity|islamabad|restaurant_islamabad,"amenity, islamabad, restaurant_islamabad"
3,74,0.079914,amenity|islamabad|tag:amenity=restaurant,"amenity, islamabad, tag:amenity=restaurant"
3,74,0.079914,amenity|restaurant_islamabad|tag:amenity=restaurant,"amenity, restaurant_islamabad, tag:amenity=restaurant"
3,74,0.079914,amenity|restaurant|restaurant_islamabad,"amenity, restaurant, restaurant_islamabad"
3,74,0.079914,amenity|restaurant|tag:amenity=restaurant,"amenity, restaurant, tag:amenity=restaurant"
3,74,0.079914,islamabad|restaurant_islamabad|tag:amenity=restaurant,"islamabad, restaurant_islamabad, tag:amenity=restaurant"
3,74,0.079914,islamabad|restaurant|restaurant_islamabad,"islamabad, restaurant, restaurant_islamabad"
3,74,0.079914,islamabad|restaurant|tag:amenity=restaurant,"islamabad, restaurant, tag:amenity=restaurant"
3,74,0.079914,restaurant|restaurant_islamabad|tag:amenity=restaurant,"restaurant, restaurant_islamabad, tag:amenity=restaurant"
3,70,0.075594,amenity_mosque|islamabad|آباد,"amenity_mosque, islamabad, آباد"
3,70,0.075594,amenity_mosque|islamabad|اسلام,"amenity_mosque, islamabad, اسلام"
3,70,0.075594,amenity_mosque|islamabad|اسلام_آباد,"amenity_mosque, islamabad, اسلام_آباد"
3,70,0.075594,amenity_mosque|mosque_islamabad|آباد,"amenity_mosque, mosque_islamabad, آباد"
3,70,0.075594,amenity_mosque|mosque_islamabad|اسلام,"amenity_mosque, mosque_islamabad, اسلام"
3,70,0.075594,amenity_mosque|mosque_islamabad|اسلام_آباد,"amenity_mosque, mosque_islamabad, اسلام_آباد"
3,70,0.075594,amenity_mosque|mosque|آباد,"amenity_mosque, mosque, آباد"
3,70,0.075594,amenity_mosque|mosque|اسلام,"amenity_mosque, mosque, اسلام"
3,70,0.075594,amenity_mosque|mosque|اسلام_آباد,"amenity_mosque, mosque, اسلام_آباد"
3,70,0.075594,amenity_mosque|آباد|اسلام,"amenity_mosque, آباد, اسلام"
3,70,0.075594,amenity_mosque|آباد|اسلام_آباد,"amenity_mosque, آباد, اسلام_آباد"
3,70,0.075594,amenity_mosque|اسلام|اسلام_آباد,"amenity_mosque, اسلام, اسلام_آباد"
3,70,0.075594,amenity|amenity_mosque|آباد,"amenity, amenity_mosque, آباد"
3,70,0.075594,amenity|amenity_mosque|اسلام,"amenity, amenity_mosque, اسلام"
3,70,0.075594,amenity|amenity_mosque|اسلام_آباد,"amenity, amenity_mosque, اسلام_آباد"
3,70,0.075594,amenity|mosque_islamabad|آباد,"amenity, mosque_islamabad, آباد"
3,70,0.075594,amenity|mosque_islamabad|اسلام,"amenity, mosque_islamabad, اسلام"
3,70,0.075594,amenity|mosque_islamabad|اسلام_آباد,"amenity, mosque_islamabad, اسلام_آباد"
3,70,0.075594,amenity|mosque|آباد,"amenity, mosque, آباد"
3,70,0.075594,amenity|mosque|اسلام,"amenity, mosque, اسلام"
3,70,0.075594,amenity|mosque|اسلام_آباد,"amenity, mosque, اسلام_آباد"
3,70,0.075594,bus_stop|islamabad|stop,"bus_stop, islamabad, stop"
3,70,0.075594,bus_stop|islamabad|stop_islamabad,"bus_stop, islamabad, stop_islamabad"
3,70,0.075594,bus_stop|islamabad|tag:highway=bus_stop,"bus_stop, islamabad, tag:highway=bus_stop"
3,70,0.075594,bus_stop|stop_islamabad|tag:highway=bus_stop,"bus_stop, stop_islamabad, tag:highway=bus_stop"
3,70,0.075594,bus_stop|stop|stop_islamabad,"bus_stop, stop, stop_islamabad"
3,70,0.075594,bus_stop|stop|tag:highway=bus_stop,"bus_stop, stop, tag:highway=bus_stop"
3,70,0.075594,bus|bus_stop|islamabad,"bus, bus_stop, islamabad"
3,70,0.075594,bus|bus_stop|stop,"bus, bus_stop, stop"
3,70,0.075594,bus|bus_stop|stop_islamabad,"bus, bus_stop, stop_islamabad"
3,70,0.075594,bus|bus_stop|tag:highway=bus_stop,"bus, bus_stop, tag:highway=bus_stop"
3,70,0.075594,bus|islamabad|stop,"bus, islamabad, stop"
3,70,0.075594,bus|islamabad|stop_islamabad,"bus, islamabad, stop_islamabad"
3,70,0.075594,bus|islamabad|tag:highway=bus_stop,"bus, islamabad, tag:highway=bus_stop"
3,70,0.075594,bus|stop_islamabad|tag:highway=bus_stop,"bus, stop_islamabad, tag:highway=bus_stop"
3,70,0.075594,bus|stop|stop_islamabad,"bus, stop, stop_islamabad"
3,70,0.075594,bus|stop|tag:highway=bus_stop,"bus, stop, tag:highway=bus_stop"
