class_label,k,support,support_frac,items,items_readable
amenity:bank,3,32,0.695652,amenity|آباد|اسلام_آباد,"amenity, آباد, اسلام_آباد"
amenity:bank,3,32,0.695652,amenity|اسلام|اسلام_آباد,"amenity, اسلام, اسلام_آباد"
amenity:bank,3,32,0.695652,bank_islamabad|islamabad|آباد,"bank_islamabad, islamabad, آباد"
amenity:bank,3,32,0.695652,bank_islamabad|islamabad|اسلام,"bank_islamabad, islamabad, اسلام"
amenity:bank,3,32,0.695652,bank_islamabad|islamabad|اسلام_آباد,"bank_islamabad, islamabad, اسلام_آباد"
amenity:bank,3,32,0.695652,bank_islamabad|tag:amenity=bank|آباد,"bank_islamabad, tag:amenity=bank, آباد"
amenity:bank,3,32,0.695652,bank_islamabad|tag:amenity=bank|اسلام,"bank_islamabad, tag:amenity=bank, اسلام"
amenity:bank,3,32,0.695652,bank_islamabad|tag:amenity=bank|اسلام_آباد,"bank_islamabad, tag:amenity=bank, اسلام_آباد"
amenity:bank,3,32,0.695652,bank_islamabad|آباد|اسلام,"bank_islamabad, آباد, اسلام"
amenity:bank,3,32,0.695652,bank_islamabad|آباد|اسلام_آباد,"bank_islamabad, آباد, اسلام_آباد"
amenity:bank,3,32,0.695652,bank_islamabad|اسلام|اسلام_آباد,"bank_islamabad, اسلام, اسلام_آباد"
amenity:bank,3,32,0.695652,bank|bank_islamabad|آباد,"bank, bank_islamabad, آباد"
amenity:bank,3,32,0.695652,bank|bank_islamabad|اسلام,"bank, bank_islamabad, اسلام"
amenity:bank,3,32,0.695652,bank|bank_islamabad|اسلام_آباد,"bank, bank_islamabad, اسلام_آباد"
amenity:bank,3,32,0.695652,bank|islamabad|آباد,"bank, islamabad, آباد"
amenity:bank,3,32,0.695652,bank|islamabad|اسلام,"bank, islamabad, اسلام"
amenity:bank,3,32,0.695652,bank|islamabad|اسلام_آباد,"bank, islamabad, اسلام_آباد"
amenity:bank,3,32,0.695652,bank|tag:amenity=bank|آباد,"bank, tag:amenity=bank, آباد"
amenity:bank,3,32,0.695652,bank|tag:amenity=bank|اسلام,"bank, tag:amenity=bank, اسلام"
amenity:bank,3,32,0.695652,bank|tag:amenity=bank|اسلام_آباد,"bank, tag:amenity=bank, اسلام_آباد"
