osm_id,osm_type,lat,lon,name,name:ar,name:de,name:en,name:es,name:ur,place,name:fa,postal_code,wikidata,wikipedia,wikipedia:ur,amenity,fuel:cng,addr:city,addr:city:en,addr:city:fr,addr:city:pa,addr:city:pnb,addr:city:ur,addr:street,brand,brand:ar,brand:ks,brand:ur,brand:wikidata,brand:wikipedia,brand:wikipedia:ur,name:ks,name:pnb,name:sd,short_name,short_name:ur,created_by,brand:wikipedia:ar,name:pa,is_in,name:ml,brand:en,operator,operator:ar,operator:en,operator:ur,operator:website,operator:wikidata,source,stars,tourism,atm,religion,brand:website,fee,addr:postcode,cuisine,addr:housename,addr:housenumber,designation,brand:pa,brand:wikipedia:pa,old_name,old_name:ur,healthcare,leisure,fuel:1_25,fuel:1_50,fuel:GTL_diesel,fuel:HGV_diesel,fuel:biodiesel,fuel:biogas,fuel:diesel,fuel:e10,fuel:e85,fuel:lpg,fuel:octane_100,fuel:octane_91,fuel:octane_95,fuel:octane_98,wheelchair,building,dispensing,addr:city:ar,addr:city:ks,addr:city:ps,addr:city:sd,email,phone,website,emergency,healthcare:speciality,operator:wikipedia,operator:wikipedia:ar,operator:wikipedia:ur,opening_hours,denomination,government,internet_access,check_date:opening_hours,compressed_air,addr:suburb,brand:fa,brand:wikipedia:fa,takeaway,information,name:mzn,brand:pnb,brand:wikipedia:pnb,long_name,long_name:ur,air_conditioning,currency:PKR,drive_through,fax,official_name,official_name:ar,official_name:ur,short_name:ar,sport,access,name:bal,name:ps,name:azb,contact:facebook,operator:type,name:fr,contact:instagram,contact:twitter,contact:youtube,image,internet_access:fee,mobile,note,capacity,delivery,internet_access:ssid,outdoor_seating,payment:cash,payment:contactless,payment:credit_cards,payment:debit_cards,payment:easypaisa,payment:mastercard,payment:visa,smoking,toilets,description,rooms,diet:halal,diet:local,bar,highchair,start_date,check_date,parking,area,building:levels,layer,aeroway,shop,office,park_ride,supervised,wikimedia_commons,barrier,fence_type,lit,surface,service:vehicle:body_repair,service:vehicle:brakes,service:vehicle:car_repair,service:vehicle:oil_change,service:vehicle:repairs,height,network,public_transport,railway,station,subway,trolleybus,building:material,bus,workshop,historic,landuse,boundary_type,guest_house,wikipedia:es,military,house,isced:level,school:gender,addr:unit,type
4899250511,node,33.6543904,73.081519,شیل,شل,,Shell,,شیل,,شل,,,,,fuel,,راولپنڈی,Rawalpindi,Rawalpindi,ਰਾਵਲਪਿੰਡੀ,راولپنڈی,راولپنڈی,Murree Road,شیل,شل,,شیل,Q154950,ur:رائل دٹچ شیل,رائل دٹچ شیل,,,,,,,رويال داتش شل,ਸ਼ੈਲ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4899250512,node,33.6540163,73.0814766,میزان بینک,بنك ميزان,,Meezan Bank,,میزان بینک,,,,,,,bank,,راولپنڈی,Rawalpindi,Rawalpindi,ਰਾਵਲਪਿੰਡੀ,راولپنڈی,راولپنڈی,Murree Road,میزان بینک,بنك ميزان,,میزان بینک,Q6807934,ur:میزان بینک,میزان بینک,,,,,,,بنك ميزان,,,,,,,,,,,,,,yes,,https://www.meezanbank.com/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4899250513,node,33.6539986,73.0819154,Habib BANK LTD FAIZABAD Branch,,,,,,,,,,,,bank,,راولپنڈی,Rawalpindi,Rawalpindi,ਰਾਵਲਪਿੰਡੀ,راولپنڈی,راولپنڈی,Murree Road,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4899250517,node,33.6529587,73.0815049,Quaid-e-Azam Boys Hostel,,,,,,,,,,,,,,راولپنڈی,Rawalpindi,Rawalpindi,ਰਾਵਲਪਿੰਡੀ,راولپنڈی,راولپنڈی,Murree Road,,,,,,,,,,,,,,,,,,,,,,,,,,,hostel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4899252223,node,33.6533134,73.081157,Zaiqa Restaurant,,,,,,,,,,,,restaurant,,راولپنڈی,Rawalpindi,Rawalpindi,ਰਾਵਲਪਿੰਡੀ,راولپنڈی,راولپنڈی,Murree Road,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4899252225,node,33.651948,73.0811885,United Bank - UBL,,,,,,,,,,,,bank,,راولپنڈی,Rawalpindi,Rawalpindi,ਰਾਵਲਪਿੰਡੀ,راولپنڈی,راولپنڈی,Murree Road,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4899252228,node,33.6505458,73.0763022,Habibi Restaurant,,,,,,,,,,,,restaurant,,راولپنڈی,Rawalpindi,Rawalpindi,ਰਾਵਲਪਿੰਡੀ,راولپنڈی,راولپنڈی,Food Street,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4899252229,node,33.6506016,73.076506,Students Cafe,,,,,,,,,,,,cafe,,راولپنڈی,Rawalpindi,Rawalpindi,ਰਾਵਲਪਿੰਡੀ,راولپنڈی,راولپنڈی,Food Street,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4899252230,node,33.6505838,73.0764175,Bismillah Mir Restaurant,,,,,,,,,,,,restaurant,,راولپنڈی,Rawalpindi,Rawalpindi,ਰਾਵਲਪਿੰਡੀ,راولپنڈی,راولپنڈی,Food Street,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4899252231,node,33.6506753,73.0766562,Karachi Hot & Spicy BBQ,,,,,,,,,,,,restaurant,,راولپنڈی,Rawalpindi,Rawalpindi,ਰਾਵਲਪਿੰਡੀ,راولپنڈی,راولپنڈی,Food Street,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4899252232,node,33.6504252,73.0767715,Khyber Darbar Restaurant,,,,,,,,,,,,restaurant,,راولپنڈی,Rawalpindi,Rawalpindi,ਰਾਵਲਪਿੰਡੀ,راولپنڈی,راولپنڈی,Food Street,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4899252233,node,33.6505413,73.0768386,Pasha Tikka House,,,,,,,,,,,,restaurant,,راولپنڈی,Rawalpindi,Rawalpindi,ਰਾਵਲਪਿੰਡੀ,راولپنڈی,راولپنڈی,Food Street,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4899252234,node,33.6506708,73.0768815,Tandoori Hut,,,,,,,,,,,,restaurant,,راولپنڈی,Rawalpindi,Rawalpindi,ਰਾਵਲਪਿੰਡੀ,راولپنڈی,راولپنڈی,Food Street,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4899252235,node,33.6508139,73.0769449,Kabuli Restaurant,,,,,,,,,,,,restaurant,,راولپنڈی,Rawalpindi,Rawalpindi,ਰਾਵਲਪਿੰਡੀ,راولپنڈی,راولپنڈی,Food Street,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4899252236,node,33.6509017,73.0770217,Al-Sheikh Tikka House,,,,,,,,,,,,restaurant,,راولپنڈی,Rawalpindi,Rawalpindi,ਰਾਵਲਪਿੰਡੀ,راولپنڈی,راولپنڈی,Food Street,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4899252237,node,33.6510371,73.077044,Pindi Food Street,,,,,,,,,,,,fast_food,,راولپنڈی,Rawalpindi,Rawalpindi,ਰਾਵਲਪਿੰਡੀ,راولپنڈی,راولپنڈی,Food Street,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4899252238,node,33.6515312,73.0773266,ITALIAN PIZZA FOOD STREET RAWALPINDI,,,,,,,,,,,,restaurant,,راولپنڈی,Rawalpindi,Rawalpindi,ਰਾਵਲਪਿੰਡੀ,راولپنڈی,راولپنڈی,Food Street,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4899252239,node,33.6516801,73.0771538,KMQ BBQ,,,,,,,,,,,,fast_food,,راولپنڈی,Rawalpindi,Rawalpindi,ਰਾਵਲਪਿੰਡੀ,راولپنڈی,راولپنڈی,Food Street,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4899252240,node,33.6514263,73.0771619,Savour Foods,,,,,,,,,,,,restaurant,,راولپنڈی,Rawalpindi,Rawalpindi,ਰਾਵਲਪਿੰਡੀ,راولپنڈی,راولپنڈی,Food Street,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
