class_label,k,items,support_total,support_in_class,support_frac_total,support_frac_in_class,conf,lift,growth,wracc,odds_ratio,chi2,p_value,ig,supp_not_c
amenity:bank,3,amenity_bank|bank_islamabad|tag:amenity=bank,46,46,0.049676,1.0,1.0,20.130434782608695,1000000000000.0,0.047208318366928056,163773.0,926.0000000000002,2.186863650577297e-203,0.2850191414888292,0
amenity:bank,3,amenity_bank|bank|tag:amenity=bank,46,46,0.049676,1.0,1.0,20.130434782608695,1000000000000.0,0.047208318366928056,163773.0,926.0000000000002,2.186863650577297e-203,0.2850191414888292,0
amenity:bank,3,amenity_bank|islamabad|tag:amenity=bank,46,46,0.049676,1.0,1.0,20.130434782608695,1000000000000.0,0.047208318366928056,163773.0,926.0000000000002,2.186863650577297e-203,0.2850191414888292,0
amenity:bank,3,amenity|amenity_bank|tag:amenity=bank,46,46,0.049676,1.0,1.0,20.130434782608695,1000000000000.0,0.047208318366928056,163773.0,926.0000000000002,2.186863650577297e-203,0.2850191414888292,0
amenity:bank,3,amenity|bank_islamabad|tag:amenity=bank,46,46,0.049676,1.0,1.0,20.130434782608695,1000000000000.0,0.047208318366928056,163773.0,926.0000000000002,2.186863650577297e-203,0.2850191414888292,0
amenity:bank,3,amenity|bank|tag:amenity=bank,46,46,0.049676,1.0,1.0,20.130434782608695,1000000000000.0,0.047208318366928056,163773.0,926.0000000000002,2.186863650577297e-203,0.2850191414888292,0
amenity:bank,3,amenity|islamabad|tag:amenity=bank,46,46,0.049676,1.0,1.0,20.130434782608695,1000000000000.0,0.047208318366928056,163773.0,926.0000000000002,2.186863650577297e-203,0.2850191414888292,0
amenity:bank,3,bank_islamabad|islamabad|tag:amenity=bank,46,46,0.049676,1.0,1.0,20.130434782608695,1000000000000.0,0.047208318366928056,163773.0,926.0000000000002,2.186863650577297e-203,0.2850191414888292,0
amenity:bank,3,bank|bank_islamabad|tag:amenity=bank,46,46,0.049676,1.0,1.0,20.130434782608695,1000000000000.0,0.047208318366928056,163773.0,926.0000000000002,2.186863650577297e-203,0.2850191414888292,0
amenity:bank,3,bank|islamabad|tag:amenity=bank,46,46,0.049676,1.0,1.0,20.130434782608695,1000000000000.0,0.047208318366928056,163773.0,926.0000000000002,2.186863650577297e-203,0.2850191414888292,0
amenity:bank,2,amenity_bank|tag:amenity=bank,46,46,0.049676,1.0,1.0,20.130434782608695,1000000000000.0,0.047208318366928056,163773.0,926.0000000000002,2.186863650577297e-203,0.2850191414888292,0
amenity:bank,2,amenity|tag:amenity=bank,46,46,0.049676,1.0,1.0,20.130434782608695,1000000000000.0,0.047208318366928056,163773.0,926.0000000000002,2.186863650577297e-203,0.2850191414888292,0
amenity:bank,2,bank_islamabad|tag:amenity=bank,46,46,0.049676,1.0,1.0,20.130434782608695,1000000000000.0,0.047208318366928056,163773.0,926.0000000000002,2.186863650577297e-203,0.2850191414888292,0
amenity:bank,2,bank|tag:amenity=bank,46,46,0.049676,1.0,1.0,20.130434782608695,1000000000000.0,0.047208318366928056,163773.0,926.0000000000002,2.186863650577297e-203,0.2850191414888292,0
amenity:bank,2,islamabad|tag:amenity=bank,46,46,0.049676,1.0,1.0,20.130434782608695,1000000000000.0,0.047208318366928056,163773.0,926.0000000000002,2.186863650577297e-203,0.2850191414888292,0
amenity:bank,3,amenity_bank|tag:amenity=bank|آباد,32,32,0.034557,0.695652,1.0,20.130434782608695,695652173913.0435,0.03284056929873256,3947.068965517241,634.0861783873164,6.4583194287101655e-140,0.17271502040094688,0
amenity:bank,3,amenity_bank|tag:amenity=bank|اسلام,32,32,0.034557,0.695652,1.0,20.130434782608695,695652173913.0435,0.03284056929873256,3947.068965517241,634.0861783873164,6.4583194287101655e-140,0.17271502040094688,0
amenity:bank,3,amenity_bank|tag:amenity=bank|اسلام_آباد,32,32,0.034557,0.695652,1.0,20.130434782608695,695652173913.0435,0.03284056929873256,3947.068965517241,634.0861783873164,6.4583194287101655e-140,0.17271502040094688,0
amenity:bank,3,amenity|tag:amenity=bank|آباد,32,32,0.034557,0.695652,1.0,20.130434782608695,695652173913.0435,0.03284056929873256,3947.068965517241,634.0861783873164,6.4583194287101655e-140,0.17271502040094688,0
amenity:bank,3,amenity|tag:amenity=bank|اسلام,32,32,0.034557,0.695652,1.0,20.130434782608695,695652173913.0435,0.03284056929873256,3947.068965517241,634.0861783873164,6.4583194287101655e-140,0.17271502040094688,0
amenity:bank,3,amenity|tag:amenity=bank|اسلام_آباد,32,32,0.034557,0.695652,1.0,20.130434782608695,695652173913.0435,0.03284056929873256,3947.068965517241,634.0861783873164,6.4583194287101655e-140,0.17271502040094688,0
amenity:bank,3,bank_islamabad|tag:amenity=bank|آباد,32,32,0.034557,0.695652,1.0,20.130434782608695,695652173913.0435,0.03284056929873256,3947.068965517241,634.0861783873164,6.4583194287101655e-140,0.17271502040094688,0
amenity:bank,3,bank_islamabad|tag:amenity=bank|اسلام,32,32,0.034557,0.695652,1.0,20.130434782608695,695652173913.0435,0.03284056929873256,3947.068965517241,634.0861783873164,6.4583194287101655e-140,0.17271502040094688,0
amenity:bank,3,bank_islamabad|tag:amenity=bank|اسلام_آباد,32,32,0.034557,0.695652,1.0,20.130434782608695,695652173913.0435,0.03284056929873256,3947.068965517241,634.0861783873164,6.4583194287101655e-140,0.17271502040094688,0
amenity:bank,3,bank|tag:amenity=bank|آباد,32,32,0.034557,0.695652,1.0,20.130434782608695,695652173913.0435,0.03284056929873256,3947.068965517241,634.0861783873164,6.4583194287101655e-140,0.17271502040094688,0
amenity:bank,3,bank|tag:amenity=bank|اسلام,32,32,0.034557,0.695652,1.0,20.130434782608695,695652173913.0435,0.03284056929873256,3947.068965517241,634.0861783873164,6.4583194287101655e-140,0.17271502040094688,0
amenity:bank,3,bank|tag:amenity=bank|اسلام_آباد,32,32,0.034557,0.695652,1.0,20.130434782608695,695652173913.0435,0.03284056929873256,3947.068965517241,634.0861783873164,6.4583194287101655e-140,0.17271502040094688,0
amenity:bank,3,islamabad|tag:amenity=bank|آباد,32,32,0.034557,0.695652,1.0,20.130434782608695,695652173913.0435,0.03284056929873256,3947.068965517241,634.0861783873164,6.4583194287101655e-140,0.17271502040094688,0
amenity:bank,3,islamabad|tag:amenity=bank|اسلام,32,32,0.034557,0.695652,1.0,20.130434782608695,695652173913.0435,0.03284056929873256,3947.068965517241,634.0861783873164,6.4583194287101655e-140,0.17271502040094688,0
amenity:bank,3,islamabad|tag:amenity=bank|اسلام_آباد,32,32,0.034557,0.695652,1.0,20.130434782608695,695652173913.0435,0.03284056929873256,3947.068965517241,634.0861783873164,6.4583194287101655e-140,0.17271502040094688,0
amenity:bank,3,tag:amenity=bank|آباد|اسلام,32,32,0.034557,0.695652,1.0,20.130434782608695,695652173913.0435,0.03284056929873256,3947.068965517241,634.0861783873164,6.4583194287101655e-140,0.17271502040094688,0
amenity:bank,3,tag:amenity=bank|آباد|اسلام_آباد,32,32,0.034557,0.695652,1.0,20.130434782608695,695652173913.0435,0.03284056929873256,3947.068965517241,634.0861783873164,6.4583194287101655e-140,0.17271502040094688,0
amenity:bank,3,tag:amenity=bank|اسلام|اسلام_آباد,32,32,0.034557,0.695652,1.0,20.130434782608695,695652173913.0435,0.03284056929873256,3947.068965517241,634.0861783873164,6.4583194287101655e-140,0.17271502040094688,0
amenity:bank,2,tag:amenity=bank|آباد,32,32,0.034557,0.695652,1.0,20.130434782608695,695652173913.0435,0.03284056929873256,3947.068965517241,634.0861783873164,6.4583194287101655e-140,0.17271502040094688,0
amenity:bank,2,tag:amenity=bank|اسلام,32,32,0.034557,0.695652,1.0,20.130434782608695,695652173913.0435,0.03284056929873256,3947.068965517241,634.0861783873164,6.4583194287101655e-140,0.17271502040094688,0
amenity:bank,2,tag:amenity=bank|اسلام_آباد,32,32,0.034557,0.695652,1.0,20.130434782608695,695652173913.0435,0.03284056929873256,3947.068965517241,634.0861783873164,6.4583194287101655e-140,0.17271502040094688,0
amenity:bank,3,amenity_bank|tag:amenity=bank|بینک,17,17,0.018359,0.369565,1.0,20.130434782608695,369565217391.3043,0.017446552439951673,1044.6610169491526,331.29956473908254,5.00889679568981e-74,0.08491323719936565,0
amenity:bank,3,amenity|tag:amenity=bank|بینک,17,17,0.018359,0.369565,1.0,20.130434782608695,369565217391.3043,0.017446552439951673,1044.6610169491526,331.29956473908254,5.00889679568981e-74,0.08491323719936565,0
amenity:bank,3,bank_islamabad|tag:amenity=bank|بینک,17,17,0.018359,0.369565,1.0,20.130434782608695,369565217391.3043,0.017446552439951673,1044.6610169491526,331.29956473908254,5.00889679568981e-74,0.08491323719936565,0
amenity:bank,3,bank|tag:amenity=bank|بینک,17,17,0.018359,0.369565,1.0,20.130434782608695,369565217391.3043,0.017446552439951673,1044.6610169491526,331.29956473908254,5.00889679568981e-74,0.08491323719936565,0
amenity:bank,3,islamabad|tag:amenity=bank|بینک,17,17,0.018359,0.369565,1.0,20.130434782608695,369565217391.3043,0.017446552439951673,1044.6610169491526,331.29956473908254,5.00889679568981e-74,0.08491323719936565,0
amenity:bank,2,tag:amenity=bank|بینک,17,17,0.018359,0.369565,1.0,20.130434782608695,369565217391.3043,0.017446552439951673,1044.6610169491526,331.29956473908254,5.00889679568981e-74,0.08491323719936565,0
amenity:bank,3,tag:amenity=bank|آباد|بینک,14,14,0.015119,0.304348,1.0,20.130434782608695,304347826086.95654,0.014367749068195495,785.6769230769231,271.93745232646836,4.291957861977334e-61,0.06903734341480765,0
amenity:bank,3,tag:amenity=bank|اسلام_آباد|بینک,14,14,0.015119,0.304348,1.0,20.130434782608695,304347826086.95654,0.014367749068195495,785.6769230769231,271.93745232646836,4.291957861977334e-61,0.06903734341480765,0
amenity:bank,3,tag:amenity=bank|اسلام|بینک,14,14,0.015119,0.304348,1.0,20.130434782608695,304347826086.95654,0.014367749068195495,785.6769230769231,271.93745232646836,4.291957861977334e-61,0.06903734341480765,0
amenity:bank,3,amenity_bank|tag:amenity=bank|بینک_amenity,10,10,0.010799,0.217391,1.0,20.130434782608695,217391304347.82608,0.010262677905853924,506.58904109589037,193.39282323903555,5.778093352874994e-44,0.048521493602028995,0
amenity:bank,3,amenity|tag:amenity=bank|بینک_amenity,10,10,0.010799,0.217391,1.0,20.130434782608695,217391304347.82608,0.010262677905853924,506.58904109589037,193.39282323903555,5.778093352874994e-44,0.048521493602028995,0
amenity:bank,3,bank_islamabad|tag:amenity=bank|بینک_amenity,10,10,0.010799,0.217391,1.0,20.130434782608695,217391304347.82608,0.010262677905853924,506.58904109589037,193.39282323903555,5.778093352874994e-44,0.048521493602028995,0
amenity:bank,3,bank|tag:amenity=bank|بینک_amenity,10,10,0.010799,0.217391,1.0,20.130434782608695,217391304347.82608,0.010262677905853924,506.58904109589037,193.39282323903555,5.778093352874994e-44,0.048521493602028995,0
amenity:bank,3,islamabad|tag:amenity=bank|بینک_amenity,10,10,0.010799,0.217391,1.0,20.130434782608695,217391304347.82608,0.010262677905853924,506.58904109589037,193.39282323903555,5.778093352874994e-44,0.048521493602028995,0
amenity:bank,3,tag:amenity=bank|بینک|بینک_amenity,10,10,0.010799,0.217391,1.0,20.130434782608695,217391304347.82608,0.010262677905853924,506.58904109589037,193.39282323903555,5.778093352874994e-44,0.048521493602028995,0
amenity:bank,2,tag:amenity=bank|بینک_amenity,10,10,0.010799,0.217391,1.0,20.130434782608695,217391304347.82608,0.010262677905853924,506.58904109589037,193.39282323903555,5.778093352874994e-44,0.048521493602028995,0
amenity:bank,3,amenity_bank|bank_amenity|tag:amenity=bank,8,8,0.008639,0.173913,1.0,20.130434782608695,173913043478.26086,0.00821014232468314,388.79220779220776,154.37719048972247,1.9155719800307689e-35,0.038518253971205965,0
amenity:bank,3,amenity|bank_amenity|tag:amenity=bank,8,8,0.008639,0.173913,1.0,20.130434782608695,173913043478.26086,0.00821014232468314,388.79220779220776,154.37719048972247,1.9155719800307689e-35,0.038518253971205965,0
amenity:bank,3,bank_amenity|bank_islamabad|tag:amenity=bank,8,8,0.008639,0.173913,1.0,20.130434782608695,173913043478.26086,0.00821014232468314,388.79220779220776,154.37719048972247,1.9155719800307689e-35,0.038518253971205965,0
amenity:bank,3,bank_amenity|islamabad|tag:amenity=bank,8,8,0.008639,0.173913,1.0,20.130434782608695,173913043478.26086,0.00821014232468314,388.79220779220776,154.37719048972247,1.9155719800307689e-35,0.038518253971205965,0
amenity:bank,3,bank|bank_amenity|tag:amenity=bank,8,8,0.008639,0.173913,1.0,20.130434782608695,173913043478.26086,0.00821014232468314,388.79220779220776,154.37719048972247,1.9155719800307689e-35,0.038518253971205965,0
amenity:bank,3,tag:amenity=bank|آباد|بینک_amenity,8,8,0.008639,0.173913,1.0,20.130434782608695,173913043478.26086,0.00821014232468314,388.79220779220776,154.37719048972247,1.9155719800307689e-35,0.038518253971205965,0
amenity:bank,3,tag:amenity=bank|اسلام_آباد|بینک_amenity,8,8,0.008639,0.173913,1.0,20.130434782608695,173913043478.26086,0.00821014232468314,388.79220779220776,154.37719048972247,1.9155719800307689e-35,0.038518253971205965,0
amenity:bank,3,tag:amenity=bank|اسلام|بینک_amenity,8,8,0.008639,0.173913,1.0,20.130434782608695,173913043478.26086,0.00821014232468314,388.79220779220776,154.37719048972247,1.9155719800307689e-35,0.038518253971205965,0
amenity:bank,2,bank_amenity|tag:amenity=bank,8,8,0.008639,0.173913,1.0,20.130434782608695,173913043478.26086,0.00821014232468314,388.79220779220776,154.37719048972247,1.9155719800307689e-35,0.038518253971205965,0
amenity:bank,3,amenity_bank|islamabad_jinnah|tag:amenity=bank,7,7,0.007559,0.152174,1.0,20.130434782608695,152173913043.47827,0.007183874534097748,334.36708860759495,134.9330557789658,3.4149085425099055e-31,0.033576148295206616,0
amenity:bank,3,amenity_bank|islamabad_اسلام|tag:amenity=bank,7,7,0.007559,0.152174,1.0,20.130434782608695,152173913043.47827,0.007183874534097748,334.36708860759495,134.9330557789658,3.4149085425099055e-31,0.033576148295206616,0
amenity:bank,3,amenity_bank|jinnah_اسلام|tag:amenity=bank,7,7,0.007559,0.152174,1.0,20.130434782608695,152173913043.47827,0.007183874534097748,334.36708860759495,134.9330557789658,3.4149085425099055e-31,0.033576148295206616,0
amenity:bank,3,amenity_bank|jinnah|tag:amenity=bank,7,7,0.007559,0.152174,1.0,20.130434782608695,152173913043.47827,0.007183874534097748,334.36708860759495,134.9330557789658,3.4149085425099055e-31,0.033576148295206616,0
amenity:bank,3,amenity|islamabad_jinnah|tag:amenity=bank,7,7,0.007559,0.152174,1.0,20.130434782608695,152173913043.47827,0.007183874534097748,334.36708860759495,134.9330557789658,3.4149085425099055e-31,0.033576148295206616,0
amenity:bank,3,amenity|islamabad_اسلام|tag:amenity=bank,7,7,0.007559,0.152174,1.0,20.130434782608695,152173913043.47827,0.007183874534097748,334.36708860759495,134.9330557789658,3.4149085425099055e-31,0.033576148295206616,0
amenity:bank,3,amenity|jinnah_اسلام|tag:amenity=bank,7,7,0.007559,0.152174,1.0,20.130434782608695,152173913043.47827,0.007183874534097748,334.36708860759495,134.9330557789658,3.4149085425099055e-31,0.033576148295206616,0
amenity:bank,3,amenity|jinnah|tag:amenity=bank,7,7,0.007559,0.152174,1.0,20.130434782608695,152173913043.47827,0.007183874534097748,334.36708860759495,134.9330557789658,3.4149085425099055e-31,0.033576148295206616,0
