pattern_id,class_label,k,items,support_total,support_in_class,support_frac_total,support_frac_in_class,conf,lift,growth,wracc,odds_ratio,chi2,p_value,ig
0,amenity:bank,3,amenity_bank|bank_islamabad|tag:amenity=bank,46,46,0.049676,1.0,1.0,20.130434782608695,1000000000000.0,0.047208318366928056,163773.0,926.0000000000002,2.186863650577297e-203,0.2850191414888292
1,amenity:bank,3,amenity_bank|tag:amenity=bank|آباد,32,32,0.034557,0.695652,1.0,20.130434782608695,695652173913.0435,0.03284056929873256,3947.068965517241,634.0861783873164,6.4583194287101655e-140,0.17271502040094688
2,amenity:bank,3,amenity_bank|tag:amenity=bank|بینک,17,17,0.018359,0.369565,1.0,20.130434782608695,369565217391.3043,0.017446552439951673,1044.6610169491526,331.29956473908254,5.00889679568981e-74,0.08491323719936565
3,amenity:bank,3,tag:amenity=bank|آباد|بینک,14,14,0.015119,0.304348,1.0,20.130434782608695,304347826086.95654,0.014367749068195495,785.6769230769231,271.93745232646836,4.291957861977334e-61,0.06903734341480765
4,amenity:bank,3,amenity_bank|tag:amenity=bank|بینک_amenity,10,10,0.010799,0.217391,1.0,20.130434782608695,217391304347.82608,0.010262677905853924,506.58904109589037,193.39282323903555,5.778093352874994e-44,0.048521493602028995
5,amenity:bank,3,amenity|tag:building=yes|آباد,14,3,0.015119,0.065217,0.21428571428571427,4.313664596273291,5.217391304347825,0.002488699392169577,6.0834582708645675,8.158990717282338,0.0042848209827810015,0.0036702264715794963
6,amenity:bank,3,amenity|islamabad|tag:building=yes,65,5,0.070194,0.108696,0.07692307692307693,1.548494983277592,1.5942028985507246,0.0019125899733636862,1.7973713033954,1.0993644037122297,0.2944056334308166,0.0007479807536486045
7,amenity:bank,3,amenity_cafe|cafe_islamabad|tag:building=yes,10,0,0.010799,0.0,0.0,0.0,0.0,-0.000536458163260546,0.8914490527393754,0.5284339023421993,0.4672660245812674,0.0007982603033225149
8,amenity:cafe,3,amenity_cafe|cafe_islamabad|tag:amenity=cafe,60,60,0.064795,1.0,1.0,15.433333333333332,1000000000000.0,0.06059644818047386,209693.0,926.0,2.186863650577546e-203,0.34619155854117084
9,amenity:cafe,3,amenity_cafe|tag:amenity=cafe|آباد,37,37,0.039957,0.616667,1.0,15.433333333333332,616666666666.6667,0.03736780971129221,2765.425531914894,556.2596925384327,5.473517564814962e-123,0.1798676024860839
10,amenity:cafe,3,amenity_cafe|cafe_amenity|tag:amenity=cafe,18,18,0.019438,0.3,1.0,15.433333333333332,300000000000.0,0.018178934454142155,754.364705882353,264.9502202643172,1.430621113729875e-59,0.08117277803350428
11,amenity:cafe,3,amenity_cafe|islamabad_اسلام|tag:amenity=cafe,16,16,0.017279,0.266667,1.0,15.433333333333332,266666666666.66666,0.01615905284812636,642.5730337078652,234.99369963369958,4.85679290170078e-53,0.07166521539329991
12,amenity:cafe,3,amenity_cafe|cafe_islamabad|tag:building=yes,10,10,0.010799,0.166667,1.0,15.433333333333332,166666666666.66666,0.010099408030078975,360.3267326732673,145.90902474526928,1.3590320863348038e-33,0.043927458698059745
13,amenity:cafe,3,cafe_amenity|tag:amenity=cafe|آباد,10,10,0.010799,0.166667,1.0,15.433333333333332,166666666666.66666,0.010099408030078975,360.3267326732673,145.90902474526928,1.3590320863348038e-33,0.043927458698059745
14,amenity:cafe,3,amenity|tag:building=yes|آباد,14,2,0.015119,0.033333,0.14285714285714285,2.2047619047619045,2.4055555555555554,0.0011802079591732011,2.921367521367521,1.4294862927140795,0.2318482940705712,0.0008509274557504541
15,amenity:cafe,3,amenity|restaurant|tag:building=yes,14,1,0.015119,0.016667,0.07142857142857142,1.1023809523809522,1.1102564102564103,0.00010029435226175411,1.5938375350140057,0.010323236401241742,0.9190715372116451,7.802424144105828e-06
16,amenity:cafe,3,amenity_bank|tag:amenity=bank|بینک_amenity,10,0,0.010799,0.0,0.0,0.0,0.0,-0.0006997280390354949,0.6741440377804014,0.7004044091692972,0.40264784027045153,0.0010495565963458632
17,amenity:hospital,3,amenity_hospital|hospital_islamabad|tag:amenity=hospital,45,45,0.048596,1.0,1.0,20.577777777777776,1000000000000.0,0.046234530179270324,160433.0,926.0,2.186863650577546e-203,0.28040314417414614
18,amenity:hospital,3,amenity_hospital|tag:amenity=hospital|آباد,27,27,0.029158,0.6,1.0,20.577777777777776,600000000000.0,0.027740718107562196,2620.6756756756754,544.475639599555,2.0034288424221153e-120,0.14296542757302036
19,amenity:hospital,3,amenity_hospital|hospital_amenity|tag:amenity=hospital,19,19,0.020518,0.422222,1.0,20.577777777777776,422222222222.2222,0.019521246075691914,1297.3018867924527,379.7700355261545,1.3964589154917205e-84,0.09659674792272355
20,amenity:hospital,3,hospital_amenity|tag:amenity=hospital|آباد,12,12,0.012959,0.266667,1.0,20.577777777777776,266666666666.66666,0.012329208047805419,657.8358208955224,238.0177972283005,1.0639507596755517e-53,0.05916815872559052
