osm_id,city,text_baseline
11592093178,Islamabad,
11592093179,Islamabad,
11592093180,Islamabad,
6323018984,Islamabad,
9689525842,Islamabad,
2778047279,Islamabad,
2778047321,Islamabad,
5282197196,Islamabad,
11592093181,Islamabad,
11592093182,Islamabad,
11592093183,Islamabad,
11592093184,Islamabad,
13243290101,Islamabad,
2778047287,Islamabad,
9419855362,Islamabad,
9419855374,Islamabad,
9419855375,Islamabad,
9419855376,Islamabad,
2391181931,Islamabad,
9419855360,Islamabad,
248546565,Islamabad,
11137558605,Islamabad,
10300127535,Islamabad,
10300115408,Islamabad,
4481549638,Islamabad,
4481549825,Islamabad,
11050932413,Islamabad,life skills community professionals
5282295884,Islamabad,
12784319259,Islamabad,
9419855361,Islamabad,
9073024763,Islamabad,
1256734950,Islamabad,
1256734965,Islamabad,
1256734949,Islamabad,
1256734964,Islamabad,
235485422,Islamabad,
795828099,Islamabad,
1256734969,Islamabad,
1256734952,Islamabad,
1256734954,Islamabad,
454315845,Islamabad,
454315844,Islamabad,
867009416,Islamabad,
851810774,Islamabad,
851810301,Islamabad,
545945687,Islamabad,
847800690,Islamabad,
941397571,Islamabad,
941397572,Islamabad,
941397565,Islamabad,
795988416,Islamabad,
941397573,Islamabad,
852046695,Islamabad,
941397580,Islamabad,
941397581,Islamabad,
941397577,Islamabad,
941397579,Islamabad,
851271961,Islamabad,
230629092,Islamabad,
1414028145,Islamabad,
498938191,Islamabad,
498938194,Islamabad,
498938193,Islamabad,
498938192,Islamabad,
498938195,Islamabad,
1135480106,Islamabad,
454315868,Islamabad,
454315862,Islamabad,
454315870,Islamabad,
454315854,Islamabad,
454315857,Islamabad,
867010470,Islamabad,
867012405,Islamabad,
887713064,Islamabad,
1298545883,Islamabad,
454316061,Islamabad,
454316062,Islamabad,
886606008,Islamabad,
886606085,Islamabad,
498938188,Islamabad,
498938201,Islamabad,
1134245679,Islamabad,
498938198,Islamabad,
886606009,Islamabad,
886606355,Islamabad,
886606356,Islamabad,
1173502896,Islamabad,
1134250572,Islamabad,
1173502890,Islamabad,
1173502891,Islamabad,
1173502892,Islamabad,
1173502893,Islamabad,
1173502894,Islamabad,
498938199,Islamabad,
498938202,Islamabad,
985228647,Islamabad,
498938187,Islamabad,
498938232,Islamabad,
980560544,Islamabad,
985228646,Islamabad,
985228648,Islamabad,
1173502897,Islamabad,
985228645,Islamabad,
498938233,Islamabad,
986896687,Islamabad,
498938189,Islamabad,
1083453456,Islamabad,
498938229,Islamabad,
980560543,Islamabad,
985209789,Islamabad,
985227788,Islamabad,
985228638,Islamabad,
980561562,Islamabad,
985228636,Islamabad,
985228637,Islamabad,
1083437648,Islamabad,
1124457853,Islamabad,
1083437717,Islamabad,
1124457852,Islamabad,
1124457854,Islamabad,
985209788,Islamabad,
985209790,Islamabad,
1083436961,Islamabad,
1083436801,Islamabad,
1083436885,Islamabad,
1182180545,Islamabad,
11629369,Islamabad,
15335375,Islamabad,
5149990125,Islamabad,
12032652677,Islamabad,
264990310,Islamabad,
12029140254,Islamabad,
12041335897,Islamabad,
8891175973,Islamabad,
2431944532,Islamabad,
2691309639,Islamabad,
8093641439,Islamabad,
2691309637,Islamabad,
2691309636,Islamabad,
10763758031,Islamabad,
10763758051,Islamabad,
10763758161,Islamabad,
10763758164,Islamabad,
10763758012,Islamabad,
10763758026,Islamabad,
10763758223,Islamabad,
10763758270,Islamabad,
10772682137,Islamabad,
10772682138,Islamabad,
10772682139,Islamabad,
10772682140,Islamabad,
12384977701,Islamabad,
2502440663,Islamabad,
2502440666,Islamabad,
2502440674,Islamabad,
2502440669,Islamabad,
2502440672,Islamabad,
264990284,Islamabad,
4539681093,Islamabad,
4549403989,Islamabad,
9489498028,Islamabad,
2691310243,Islamabad,
2685020366,Islamabad,
2685020367,Islamabad,
11201331122,Islamabad,
2689598773,Islamabad,
4432557291,Islamabad,
4525267091,Islamabad,
5042022809,Islamabad,
2689598769,Islamabad,
4875356121,Islamabad,
8547935217,Islamabad,
10574077181,Islamabad,
8022686086,Islamabad,
4210201289,Islamabad,
2502440691,Islamabad,
3446243038,Islamabad,
3446243039,Islamabad,
4227844289,Islamabad,
5042022811,Islamabad,
4409869951,Islamabad,
4345546390,Islamabad,
4345549689,Islamabad,
2691309635,Islamabad,
2502440687,Islamabad,
11193684495,Islamabad,
2502440690,Islamabad,
2502440679,Islamabad,
2502440682,Islamabad,
2502440685,Islamabad,
264990115,Islamabad,
11623655773,Islamabad,
4623139193,Islamabad,
6956637485,Islamabad,
8408057917,Islamabad,
2502440906,Islamabad,
7424578985,Islamabad,
11145555006,Islamabad,
6535041285,Islamabad,
8408058017,Islamabad,
2502440907,Islamabad,
9182623670,Islamabad,
10825690506,Islamabad,
6422526503,Islamabad,
12364951701,Islamabad,
11647347470,Islamabad,
12364943801,Islamabad,
3921846719,Islamabad,
2502440655,Islamabad,
7646293567,Islamabad,
2688558594,Islamabad,
260064429,Islamabad,
2502430288,Islamabad,
2502440661,Islamabad,
2433164392,Islamabad,
9501618143,Islamabad,
9501618144,Islamabad,
838915885,Islamabad,
454315863,Islamabad,
454315858,Islamabad,
454315856,Islamabad,
454315864,Islamabad,
454316066,Islamabad,
1064445376,Islamabad,
454315846,Islamabad,
454316063,Islamabad,
454315867,Islamabad,
454315869,Islamabad,
454316065,Islamabad,
454315852,Islamabad,
454315865,Islamabad,
1064445375,Islamabad,
454315833,Islamabad,
1126643347,Islamabad,
1298552103,Islamabad,
1298724325,Islamabad,
1298724613,Islamabad,
1298940721,Islamabad,
1298723686,Islamabad,
1298723687,Islamabad,
1298941362,Islamabad,
1298941666,Islamabad,
1134247228,Islamabad,
1299930919,Islamabad,
686020810,Islamabad,
1298554746,Islamabad,
1300551157,Islamabad,
615191493,Islamabad,
1126644155,Islamabad,
1298551019,Islamabad,
1300534964,Islamabad,
1064460976,Islamabad,
899888548,Islamabad,
263220678,Islamabad,
899885612,Islamabad,
1300665404,Islamabad,
1300667590,Islamabad,
1300535343,Islamabad,
980826224,Islamabad,
980603257,Islamabad,
980603816,Islamabad,
980826233,Islamabad,
980826234,Islamabad,
980826235,Islamabad,
980826236,Islamabad,
980826237,Islamabad,
980826238,Islamabad,
899887280,Islamabad,
262847564,Islamabad,
1157424530,Islamabad,
1033618877,Islamabad,
1157424465,Islamabad,
980826230,Islamabad,
498938267,Islamabad,
1298722691,Islamabad,
1299798819,Islamabad,
1298720872,Islamabad,
1298720873,Islamabad,
1298720874,Islamabad,
1298720875,Islamabad,
1298720876,Islamabad,
1298720877,Islamabad,
1298720879,Islamabad,
1298720880,Islamabad,
1298721303,Islamabad,
1299798821,Islamabad,
1299798822,Islamabad,
1299961051,Islamabad,
1298548673,Islamabad,
1298551363,Islamabad,
1298554613,Islamabad,
498938231,Islamabad,
498938230,Islamabad,
498938235,Islamabad,
498938236,Islamabad,
990835387,Islamabad,
498938265,Islamabad,
985209787,Islamabad,
1173259797,Islamabad,
1173259798,Islamabad,
1173259802,Islamabad,
1173259803,Islamabad,
1173259804,Islamabad,
1173259805,Islamabad,
1173259807,Islamabad,
1083438271,Islamabad,
1082902682,Islamabad,
1083437900,Islamabad,
1083438777,Islamabad,
1173259793,Islamabad,
1173259784,Islamabad,
1173259785,Islamabad,
1173259787,Islamabad,
1173259788,Islamabad,
1173259794,Islamabad,
1173259795,Islamabad,
1173259796,Islamabad,
1173259800,Islamabad,
1173259790,Islamabad,
1173259791,Islamabad,
1173259792,Islamabad,
1083434740,Islamabad,
1126906984,Islamabad,
1310723267,Islamabad,
498938237,Islamabad,
513231054,Islamabad,
262847309,Islamabad,
498938259,Islamabad,
498938268,Islamabad,
498938254,Islamabad,
498938263,Islamabad,
262847310,Islamabad,
257204964,Islamabad,
513229319,Islamabad,
242789967,Islamabad,
242789968,Islamabad,
242789971,Islamabad,
242789972,Islamabad,
242789974,Islamabad,
242789975,Islamabad,
1189849453,Islamabad,
242789965,Islamabad,
242789977,Islamabad,
242789962,Islamabad,
242789964,Islamabad,
260582462,Islamabad,
260582463,Islamabad,
1006839494,Islamabad,
1006841221,Islamabad,
242789979,Islamabad,
242789990,Islamabad,
498938261,Islamabad,
498938274,Islamabad,
498938282,Islamabad,
242789980,Islamabad,
242789982,Islamabad,
242789983,Islamabad,
242789985,Islamabad,
286045184,Islamabad,
242789987,Islamabad,
283554291,Islamabad,
260629647,Islamabad,
242789988,Islamabad,
498938276,Islamabad,
498938277,Islamabad,
498938280,Islamabad,
1085909145,Islamabad,
498938279,Islamabad,
685359676,Islamabad,
685359681,Islamabad,
1451020446,Islamabad,
820412514,Islamabad,
972841269,Islamabad,
476291482,Islamabad,
476290246,Islamabad,
820414071,Islamabad,
1134215786,Islamabad,
1134216136,Islamabad,
1134216137,Islamabad,
262546429,Islamabad,
263671844,Islamabad,
242977193,Islamabad,
263231607,Islamabad,
233476057,Islamabad,
1444403245,Islamabad,
242978359,Islamabad,
235097880,Islamabad,
1310723268,Islamabad,
1146104703,Islamabad,
685359672,Islamabad,
685359673,Islamabad,
568903832,Islamabad,sector
568903835,Islamabad,sector
568903830,Islamabad,
16824768,Islamabad,
2418553998,Islamabad,
2502423910,Islamabad,
2502423911,Islamabad,
2502423912,Islamabad,
2502423913,Islamabad,
2502430287,Islamabad,
4991893421,Islamabad,
2718685360,Islamabad,
2787108354,Islamabad,
2502430285,Islamabad,
6598974585,Islamabad,
8887609102,Islamabad,
5370875539,Islamabad,
7538413890,Islamabad,
2502430275,Islamabad,
7538414486,Islamabad,
2502430279,Islamabad,
2502430280,Islamabad,
2502430274,Islamabad,
6669876185,Islamabad,
7673015520,Islamabad,city north west pilgrimage centre
2432186144,Islamabad,
2446416669,Islamabad,
3522763734,Islamabad,
12188746514,Islamabad,
12188746515,Islamabad,
12188746517,Islamabad,
4835074024,Islamabad,
4832804523,Islamabad,
4832808121,Islamabad,
4832954521,Islamabad,
9210089407,Islamabad,
4835094722,Islamabad,
4835123421,Islamabad,
4835614023,Islamabad,
9210118541,Islamabad,
2446525132,Islamabad,
6364959992,Islamabad,
7538414487,Islamabad,
8887617219,Islamabad,
7538414886,Islamabad,
12188746447,Islamabad,
4696944389,Islamabad,
4833502922,Islamabad,
4835074022,Islamabad,
4835074023,Islamabad,
4835094723,Islamabad,
260066730,Islamabad,
4416006293,Islamabad,
4832804522,Islamabad,
4835123221,Islamabad,
4835656522,Islamabad,
4835656523,Islamabad,
4835656621,Islamabad,
7538512385,Islamabad,
5687298821,Islamabad,
7538512485,Islamabad,
5059185927,Islamabad,
11538279844,Islamabad,
11538279845,Islamabad,
11538279846,Islamabad,
