Metric,Hybrid Model,Baseline (Word2Vec)
Hit@1,0.9814814814814815,0.20987654320987653
Hit@3,1.0,0.37962962962962965
Macro F1,0.9799964438122333,0.06860841858252414
nDCG@3,0.9931653658068789,0.3137459827711678
