antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
"frozenset({'station', 'police', 'famous'})",frozenset({'amenity__police'}),0.005401234567901234,0.13194444444444445,0.005401234567901234,1.0,7.578947368421052,1.0,0.004688571673525377,inf,0.8727695888285493,0.04093567251461988,1.0,0.52046783625731
"frozenset({'station', 'famous'})","frozenset({'police', 'amenity__police'})",0.005401234567901234,0.04861111111111111,0.005401234567901234,1.0,20.57142857142857,1.0,0.005138674554183813,inf,0.9565554693560899,0.11111111111111109,1.0,0.5555555555555556
"frozenset({'police', 'famous'})","frozenset({'station', 'amenity__police'})",0.005401234567901234,0.05169753086419753,0.005401234567901234,1.0,19.34328358208955,1.0,0.0051220040771223895,inf,0.9534522885958107,0.10447761194029849,1.0,0.5522388059701493
"frozenset({'clothing', 'famous'})","frozenset({'store', 'shop__clothes'})",0.005401234567901234,0.023148148148148147,0.005401234567901234,1.0,43.2,1.0,0.0052762059899405574,inf,0.982156710628394,0.23333333333333334,1.0,0.6166666666666667
"frozenset({'store', 'clothing', 'famous'})",frozenset({'shop__clothes'}),0.005401234567901234,0.1381172839506173,0.005401234567901234,1.0,7.24022346368715,1.0,0.0046552307194025295,inf,0.8665632273079906,0.03910614525139665,1.0,0.5195530726256983
"frozenset({'police', 'peshawar'})",frozenset({'amenity__police'}),0.005401234567901234,0.13194444444444445,0.005401234567901234,1.0,7.578947368421052,1.0,0.004688571673525377,inf,0.8727695888285493,0.04093567251461988,1.0,0.52046783625731
"frozenset({'clothing', 'famous'})",frozenset({'shop__clothes'}),0.005401234567901234,0.1381172839506173,0.005401234567901234,1.0,7.24022346368715,1.0,0.0046552307194025295,inf,0.8665632273079906,0.03910614525139665,1.0,0.5195530726256983
"frozenset({'station', 'police', 'peshawar'})",frozenset({'amenity__police'}),0.005401234567901234,0.13194444444444445,0.005401234567901234,1.0,7.578947368421052,1.0,0.004688571673525377,inf,0.8727695888285493,0.04093567251461988,1.0,0.52046783625731
"frozenset({'station', 'peshawar'})","frozenset({'police', 'amenity__police'})",0.005401234567901234,0.04861111111111111,0.005401234567901234,1.0,20.57142857142857,1.0,0.005138674554183813,inf,0.9565554693560899,0.11111111111111109,1.0,0.5555555555555556
"frozenset({'police', 'peshawar'})","frozenset({'station', 'amenity__police'})",0.005401234567901234,0.05169753086419753,0.005401234567901234,1.0,19.34328358208955,1.0,0.0051220040771223895,inf,0.9534522885958107,0.10447761194029849,1.0,0.5522388059701493
frozenset({'clothing'}),"frozenset({'store', 'shop__clothes'})",0.023148148148148147,0.023148148148148147,0.023148148148148147,1.0,43.2,1.0,0.022612311385459532,inf,1.0,1.0,1.0,1.0
frozenset({'fashion'}),frozenset({'shop__clothes'}),0.029320987654320986,0.1381172839506173,0.029320987654320986,1.0,7.24022346368715,1.0,0.02527125247675659,inf,0.8879173290937997,0.21229050279329606,1.0,0.606145251396648
frozenset({'dukaan'}),frozenset({'shop__convenience'}),0.006172839506172839,0.1095679012345679,0.006172839506172839,1.0,9.126760563380282,1.0,0.005496494436823655,inf,0.8959627329192547,0.05633802816901408,1.0,0.528169014084507
frozenset({'cafe'}),frozenset({'amenity__cafe'}),0.023148148148148147,0.13425925925925927,0.023148148148148147,1.0,7.448275862068964,1.0,0.020040294924554183,inf,0.8862559241706162,0.17241379310344826,1.0,0.5862068965517241
"frozenset({'tailor', 'saddar'})",frozenset({'shop__tailor'}),0.005401234567901234,0.12962962962962962,0.005401234567901234,1.0,7.714285714285714,1.0,0.004701074531321445,inf,0.8750969743987587,0.041666666666666664,1.0,0.5208333333333334
frozenset({'sauda'}),frozenset({'shop__convenience'}),0.009259259259259259,0.1095679012345679,0.009259259259259259,1.0,9.126760563380282,1.0,0.008244741655235482,inf,0.8987538940809969,0.08450704225352113,1.0,0.5422535211267605
frozenset({'precinct'}),frozenset({'amenity__police'}),0.033950617283950615,0.13194444444444445,0.033950617283950615,1.0,7.578947368421052,1.0,0.029471021947873797,inf,0.8985623003194889,0.25730994152046777,1.0,0.6286549707602339
"frozenset({'cheap', 'precinct'})",frozenset({'amenity__police'}),0.006944444444444444,0.13194444444444445,0.006944444444444444,1.0,7.578947368421052,1.0,0.0060281635802469135,inf,0.8741258741258742,0.05263157894736842,1.0,0.5263157894736842
frozenset({'salf'}),frozenset({'shop__convenience'}),0.013117283950617283,0.1095679012345679,0.013117283950617283,1.0,9.126760563380282,1.0,0.011680050678250266,inf,0.9022673964034401,0.11971830985915492,1.0,0.5598591549295775
frozenset({'general'}),frozenset({'shop__convenience'}),0.007716049382716049,0.1095679012345679,0.007716049382716049,1.0,9.126760563380282,1.0,0.006870618046029568,inf,0.8973561430793158,0.07042253521126761,1.0,0.5352112676056338
"frozenset({'clean', 'precinct'})",frozenset({'amenity__police'}),0.005401234567901234,0.13194444444444445,0.005401234567901234,1.0,7.578947368421052,1.0,0.004688571673525377,inf,0.8727695888285493,0.04093567251461988,1.0,0.52046783625731
frozenset({'restaurant'}),frozenset({'amenity__restaurant'}),0.016203703703703703,0.1111111111111111,0.016203703703703703,1.0,9.0,1.0,0.014403292181069957,inf,0.9035294117647059,0.14583333333333334,1.0,0.5729166666666666
"frozenset({'famous', 'tailor'})","frozenset({'shop__tailor', 'shop'})",0.006172839506172839,0.031635802469135804,0.006172839506172839,1.0,31.609756097560975,1.0,0.005977556774881878,inf,0.9743788819875776,0.19512195121951217,1.0,0.5975609756097561
"frozenset({'guest', 'famous'})",frozenset({'tourism__hotel'}),0.005401234567901234,0.12037037037037036,0.005401234567901234,1.0,8.307692307692308,1.0,0.004751085962505715,inf,0.8844065166795966,0.044871794871794865,1.0,0.5224358974358975
